loss,block,model,assets,mean_rank,rank_min,rank_q25,rank_median,rank_q75,rank_max,ranks
crps,equity,har,9,3.6666666666666665,1,4,4,4,5,CAC:1 DAX:4 DIA:4 HSI:2 KOSPI:4 NDX:4 NKX:5 SPY:5 TWSE:4
crps,equity,lgbm,9,11.111111111111111,10,11,11,11,12,CAC:11 DAX:11 DIA:12 HSI:11 KOSPI:11 NDX:11 NKX:10 SPY:12 TWSE:11
crps,equity,moirai,9,3.4444444444444446,1,1,4,5,6,CAC:2 DAX:1 DIA:5 HSI:1 KOSPI:1 NDX:5 NKX:6 SPY:4 TWSE:6
crps,equity,naive,9,13,13,13,13,13,13,CAC:13 DAX:13 DIA:13 HSI:13 KOSPI:13 NDX:13 NKX:13 SPY:13 TWSE:13
crps,equity,patchtst,9,11.777777777777779,11,12,12,12,12,CAC:12 DAX:12 DIA:11 HSI:12 KOSPI:12 NDX:12 NKX:12 SPY:11 TWSE:12
crps,equity,timesfm,9,7.1111111111111107,5,6,7,8,10,CAC:5 DAX:7 DIA:6 HSI:5 KOSPI:7 NDX:7 NKX:9 SPY:8 TWSE:10
crps,crypto,autoarima,2,6.5,6,6.25,6.5,6.75,7,BTC-USD:7 ETH-USD:6
crps,crypto,autoets,2,9,8,8.5,9,9.5,10,BTC-USD:10 ETH-USD:8
crps,crypto,chronos,2,3,3,3,3,3,3,BTC-USD:3 ETH-USD:3
crps,crypto,ewma,2,7,5,6,7,8,9,BTC-USD:5 ETH-USD:9
crps,crypto,garch11,2,9.5,9,9.25,9.5,9.75,10,BTC-USD:9 ETH-USD:10
crps,crypto,garch11_t,2,4,4,4,4,4,4,BTC-USD:4 ETH-USD:4
crps,crypto,gjr,2,11.5,11,11.25,11.5,11.75,12,BTC-USD:11 ETH-USD:12
crps,crypto,har,2,5.5,5,5.25,5.5,5.75,6,BTC-USD:6 ETH-USD:5
crps,crypto,lgbm,2,7.5,7,7.25,7.5,7.75,8,BTC-USD:8 ETH-USD:7
crps,crypto,moirai,2,1,1,1,1,1,1,BTC-USD:1 ETH-USD:1
crps,crypto,naive,2,13,13,13,13,13,13,BTC-USD:13 ETH-USD:13
crps,crypto,patchtst,2,11.5,11,11.25,11.5,11.75,12,BTC-USD:12 ETH-USD:11
crps,crypto,timesfm,2,2,2,2,2,2,2,BTC-USD:2 ETH-USD:2
log_score,all,autoarima,11,5.3636363636363633,3,3,5,7,10,BTC-USD:6 CAC:8 DAX:5 DIA:3 ETH-USD:7 HSI:4 KOSPI:3 NDX:3 NKX:10 SPY:3 TWSE:7
log_score,all,autoets,11,4.7272727272727275,1,2,5,7.5,10,BTC-USD:10 CAC:6 DAX:2 DIA:1 ETH-USD:9 HSI:5 KOSPI:2 NDX:1 NKX:9 SPY:2 TWSE:5
log_score,all,chronos,11,6.7272727272727275,4,6,7,7.5,11,BTC-USD:4 CAC:7 DAX:6 DIA:8 ETH-USD:4 HSI:6 KOSPI:8 NDX:7 NKX:6 SPY:7 TWSE:11
log_score,all,ewma,11,8.8181818181818183,4,8.5,10,10,12,BTC-USD:12 CAC:10 DAX:9 DIA:10 ETH-USD:11 HSI:8 KOSPI:9 NDX:10 NKX:4 SPY:10 TWSE:4
log_score,all,garch11,11,7.8181818181818183,3,7.5,9,9,10,BTC-USD:7 CAC:9 DAX:10 DIA:9 ETH-USD:8 HSI:9 KOSPI:10 NDX:9 NKX:3 SPY:9 TWSE:3
log_score,all,garch11_t,11,1.7272727272727273,1,1,1,1.5,5,BTC-USD:1 CAC:1 DAX:4 DIA:2 ETH-USD:1 HSI:1 KOSPI:1 NDX:5 NKX:1 SPY:1 TWSE:1
log_score,all,gjr,11,5.6363636363636367,2,3.5,5,8,10,BTC-USD:8 CAC:3 DAX:8 DIA:5 ETH-USD:10 HSI:10 KOSPI:5 NDX:4 NKX:2 SPY:5 TWSE:2
log_score,all,har,11,4.0909090909090908,1,2.5,4,5.5,7,BTC-USD:5 CAC:2 DAX:1 DIA:4 ETH-USD:5 HSI:3 KOSPI:6 NDX:2 NKX:7 SPY:4 TWSE:6
log_score,all,lgbm,11,10.090909090909092,6,10,11,11,11,BTC-USD:9 CAC:11 DAX:11 DIA:11 ETH-USD:6 HSI:11 KOSPI:11 NDX:11 NKX:11 SPY:11 TWSE:8
log_score,all,moirai,11,4.7272727272727275,2,3,4,6,10,BTC-USD:3 CAC:4 DAX:3 DIA:6 ETH-USD:3 HSI:2 KOSPI:4 NDX:6 NKX:5 SPY:6 TWSE:10
log_score,all,naive,11,12.454545454545455,11,12,13,13,13,BTC-USD:11 CAC:13 DAX:12 DIA:13 ETH-USD:12 HSI:13 KOSPI:13 NDX:13 NKX:12 SPY:13 TWSE:12
log_score,all,patchtst,11,12.454545454545455,12,12,12,13,13,BTC-USD:13 CAC:12 DAX:13 DIA:12 ETH-USD:13 HSI:12 KOSPI:12 NDX:12 NKX:13 SPY:12 TWSE:13
log_score,all,timesfm,11,6.3636363636363633,2,6,7,8,9,BTC-USD:2 CAC:5 DAX:7 DIA:7 ETH-USD:2 HSI:7 KOSPI:7 NDX:8 NKX:8 SPY:8 TWSE:9
log_score,equity,autoarima,9,5.1111111111111107,3,3,4,7,10,CAC:8 DAX:5 DIA:3 HSI:4 KOSPI:3 NDX:3 NKX:10 SPY:3 TWSE:7
log_score,equity,autoets,9,3.6666666666666665,1,2,2,5,9,CAC:6 DAX:2 DIA:1 HSI:5 KOSPI:2 NDX:1 NKX:9 SPY:2 TWSE:5
log_score,equity,chronos,9,7.333333333333333,6,6,7,8,11,CAC:7 DAX:6 DIA:8 HSI:6 KOSPI:8 NDX:7 NKX:6 SPY:7 TWSE:11
log_score,equity,ewma,9,8.2222222222222214,4,8,9,10,10,CAC:10 DAX:9 DIA:10 HSI:8 KOSPI:9 NDX:10 NKX:4 SPY:10 TWSE:4
log_score,equity,garch11,9,7.8888888888888893,3,9,9,9,10,CAC:9 DAX:10 DIA:9 HSI:9 KOSPI:10 NDX:9 NKX:3 SPY:9 TWSE:3
log_score,equity,garch11_t,9,1.8888888888888888,1,1,1,2,5,CAC:1 DAX:4 DIA:2 HSI:1 KOSPI:1 NDX:5 NKX:1 SPY:1 TWSE:1
log_score,equity,gjr,9,4.8888888888888893,2,3,5,5,10,CAC:3 DAX:8 DIA:5 HSI:10 KOSPI:5 NDX:4 NKX:2 SPY:5 TWSE:2
log_score,equity,har,9,3.8888888888888888,1,2,4,6,7,CAC:2 DAX:1 DIA:4 HSI:3 KOSPI:6 NDX:2 NKX:7 SPY:4 TWSE:6
log_score,equity,lgbm,9,10.666666666666666,8,11,11,11,11,CAC:11 DAX:11 DIA:11 HSI:11 KOSPI:11 NDX:11 NKX:11 SPY:11 TWSE:8
log_score,equity,moirai,9,5.1111111111111107,2,4,5,6,10,CAC:4 DAX:3 DIA:6 HSI:2 KOSPI:4 NDX:6 NKX:5 SPY:6 TWSE:10
log_score,equity,naive,9,12.666666666666666,12,12,13,13,13,CAC:13 DAX:12 DIA:13 HSI:13 KOSPI:13 NDX:13 NKX:12 SPY:13 TWSE:12
log_score,equity,patchtst,9,12.333333333333334,12,12,12,13,13,CAC:12 DAX:13 DIA:12 HSI:12 KOSPI:12 NDX:12 NKX:13 SPY:12 TWSE:13
log_score,equity,timesfm,9,7.333333333333333,5,7,7,8,9,CAC:5 DAX:7 DIA:7 HSI:7 KOSPI:7 NDX:8 NKX:8 SPY:8 TWSE:9
log_score,crypto,autoarima,2,6.5,6,6.25,6.5,6.75,7,BTC-USD:6 ETH-USD:7
log_score,crypto,autoets,2,9.5,9,9.25,9.5,9.75,10,BTC-USD:10 ETH-USD:9
log_score,crypto,chronos,2,4,4,4,4,4,4,BTC-USD:4 ETH-USD:4
log_score,crypto,ewma,2,11.5,11,11.25,11.5,11.75,12,BTC-USD:12 ETH-USD:11
log_score,crypto,garch11,2,7.5,7,7.25,7.5,7.75,8,BTC-USD:7 ETH-USD:8
log_score,crypto,garch11_t,2,1,1,1,1,1,1,BTC-USD:1 ETH-USD:1
log_score,crypto,gjr,2,9,8,8.5,9,9.5,10,BTC-USD:8 ETH-USD:10
log_score,crypto,har,2,5,5,5,5,5,5,BTC-USD:5 ETH-USD:5
log_score,crypto,lgbm,2,7.5,6,6.75,7.5,8.25,9,BTC-USD:9 ETH-USD:6
log_score,crypto,moirai,2,3,3,3,3,3,3,BTC-USD:3 ETH-USD:3
log_score,crypto,naive,2,11.5,11,11.25,11.5,11.75,12,BTC-USD:11 ETH-USD:12
log_score,crypto,patchtst,2,13,13,13,13,13,13,BTC-USD:13 ETH-USD:13
log_score,crypto,timesfm,2,2,2,2,2,2,2,BTC-USD:2 ETH-USD:2
pinball_0p01,all,autoarima,11,5,2,3,5,6.5,9,BTC-USD:6 CAC:6 DAX:7 DIA:4 ETH-USD:2 HSI:3 KOSPI:2 NDX:3 NKX:9 SPY:5 TWSE:8
pinball_0p01,all,autoets,11,4,1,1.5,3,5,10,BTC-USD:10 CAC:5 DAX:3 DIA:2 ETH-USD:9 HSI:1 KOSPI:1 NDX:1 NKX:5 SPY:2 TWSE:5
pinball_0p01,all,chronos,11,7.2727272727272725,3,6,8,8.5,11,BTC-USD:3 CAC:9 DAX:5 DIA:8 ETH-USD:3 HSI:10 KOSPI:8 NDX:7 NKX:8 SPY:8 TWSE:11
pinball_0p01,all,ewma,11,8,3,6,8,10,12,BTC-USD:12 CAC:8 DAX:6 DIA:10 ETH-USD:12 HSI:6 KOSPI:7 NDX:10 NKX:4 SPY:10 TWSE:3
pinball_0p01,all,garch11,11,7.1818181818181817,3,5,8,9.5,10,BTC-USD:9 CAC:3 DAX:10 DIA:6 ETH-USD:10 HSI:8 KOSPI:10 NDX:9 NKX:3 SPY:7 TWSE:4
pinball_0p01,all,garch11_t,11,3.3636363636363638,1,1,2,4.5,11,BTC-USD:11 CAC:2 DAX:1 DIA:1 ETH-USD:6 HSI:4 KOSPI:3 NDX:5 NKX:2 SPY:1 TWSE:1
pinball_0p01,all,gjr,11,3.0909090909090908,1,2,3,4,7,BTC-USD:5 CAC:1 DAX:2 DIA:3 ETH-USD:7 HSI:2 KOSPI:4 NDX:4 NKX:1 SPY:3 TWSE:2
pinball_0p01,all,har,11,4.6363636363636367,2,4,4,5.5,7,BTC-USD:4 CAC:4 DAX:4 DIA:5 ETH-USD:4 HSI:5 KOSPI:6 NDX:2 NKX:7 SPY:4 TWSE:6
pinball_0p01,all,lgbm,11,10.090909090909092,7,9.5,11,11,11,BTC-USD:8 CAC:11 DAX:11 DIA:11 ETH-USD:8 HSI:11 KOSPI:11 NDX:11 NKX:11 SPY:11 TWSE:7
pinball_0p01,all,moirai,11,6.8181818181818183,1,5.5,8,9,10,BTC-USD:1 CAC:10 DAX:9 DIA:9 ETH-USD:1 HSI:7 KOSPI:5 NDX:8 NKX:6 SPY:9 TWSE:10
pinball_0p01,all,naive,11,11.909090909090908,7,12,12,13,13,BTC-USD:7 CAC:12 DAX:12 DIA:13 ETH-USD:11 HSI:13 KOSPI:13 NDX:13 NKX:12 SPY:13 TWSE:12
pinball_0p01,all,patchtst,11,12.545454545454545,12,12,13,13,13,BTC-USD:13 CAC:13 DAX:13 DIA:12 ETH-USD:13 HSI:12 KOSPI:12 NDX:12 NKX:13 SPY:12 TWSE:13
pinball_0p01,all,timesfm,11,7.0909090909090908,2,6,7,9,10,BTC-USD:2 CAC:7 DAX:8 DIA:7 ETH-USD:5 HSI:9 KOSPI:9 NDX:6 NKX:10 SPY:6 TWSE:9
pinball_0p01,equity,autoarima,9,5.2222222222222223,2,3,5,7,9,CAC:6 DAX:7 DIA:4 HSI:3 KOSPI:2 NDX:3 NKX:9 SPY:5 TWSE:8
pinball_0p01,equity,autoets,9,2.7777777777777777,1,1,2,5,5,CAC:5 DAX:3 DIA:2 HSI:1 KOSPI:1 NDX:1 NKX:5 SPY:2 TWSE:5
pinball_0p01,equity,chronos,9,8.2222222222222214,5,8,8,9,11,CAC:9 DAX:5 DIA:8 HSI:10 KOSPI:8 NDX:7 NKX:8 SPY:8 TWSE:11
pinball_0p01,equity,ewma,9,7.1111111111111107,3,6,7,10,10,CAC:8 DAX:6 DIA:10 HSI:6 KOSPI:7 NDX:10 NKX:4 SPY:10 TWSE:3
pinball_0p01,equity,garch11,9,6.666666666666667,3,4,7,9,10,CAC:3 DAX:10 DIA:6 HSI:8 KOSPI:10 NDX:9 NKX:3 SPY:7 TWSE:4
pinball_0p01,equity,garch11_t,9,2.2222222222222223,1,1,2,3,5,CAC:2 DAX:1 DIA:1 HSI:4 KOSPI:3 NDX:5 NKX:2 SPY:1 TWSE:1
pinball_0p01,equity,gjr,9,2.4444444444444446,1,2,2,3,4,CAC:1 DAX:2 DIA:3 HSI:2 KOSPI:4 NDX:4 NKX:1 SPY:3 TWSE:2
pinball_0p01,equity,har,9,4.7777777777777777,2,4,5,6,7,CAC:4 DAX:4 DIA:5 HSI:5 KOSPI:6 NDX:2 NKX:7 SPY:4 TWSE:6
pinball_0p01,equity,lgbm,9,10.555555555555555,7,11,11,11,11,CAC:11 DAX:11 DIA:11 HSI:11 KOSPI:11 NDX:11 NKX:11 SPY:11 TWSE:7
pinball_0p01,equity,moirai,9,8.1111111111111107,5,7,9,9,10,CAC:10 DAX:9 DIA:9 HSI:7 KOSPI:5 NDX:8 NKX:6 SPY:9 TWSE:10
pinball_0p01,equity,naive,9,12.555555555555555,12,12,13,13,13,CAC:12 DAX:12 DIA:13 HSI:13 KOSPI:13 NDX:13 NKX:12 SPY:13 TWSE:12
pinball_0p01,equity,patchtst,9,12.444444444444445,12,12,12,13,13,CAC:13 DAX:13 DIA:12 HSI:12 KOSPI:12 NDX:12 NKX:13 SPY:12 TWSE:13
pinball_0p01,equity,timesfm,9,7.8888888888888893,6,7,8,9,10,CAC:7 DAX:8 DIA:7 HSI:9 KOSPI:9 NDX:6 NKX:10 SPY:6 TWSE:9
pinball_0p01,crypto,autoarima,2,4,2,3,4,5,6,BTC-USD:6 ETH-USD:2
pinball_0p01,crypto,autoets,2,9.5,9,9.25,9.5,9.75,10,BTC-USD:10 ETH-USD:9
pinball_0p01,crypto,chronos,2,3,3,3,3,3,3,BTC-USD:3 ETH-USD:3
pinball_0p01,crypto,ewma,2,12,12,12,12,12,12,BTC-USD:12 ETH-USD:12
pinball_0p01,crypto,garch11,2,9.5,9,9.25,9.5,9.75,10,BTC-USD:9 ETH-USD:10
pinball_0p01,crypto,garch11_t,2,8.5,6,7.25,8.5,9.75,11,BTC-USD:11 ETH-USD:6
pinball_0p01,crypto,gjr,2,6,5,5.5,6,6.5,7,BTC-USD:5 ETH-USD:7
pinball_0p01,crypto,har,2,4,4,4,4,4,4,BTC-USD:4 ETH-USD:4
pinball_0p01,crypto,lgbm,2,8,8,8,8,8,8,BTC-USD:8 ETH-USD:8
pinball_0p01,crypto,moirai,2,1,1,1,1,1,1,BTC-USD:1 ETH-USD:1
pinball_0p01,crypto,naive,2,9,7,8,9,10,11,BTC-USD:7 ETH-USD:11
pinball_0p01,crypto,patchtst,2,13,13,13,13,13,13,BTC-USD:13 ETH-USD:13
pinball_0p01,crypto,timesfm,2,3.5,2,2.75,3.5,4.25,5,BTC-USD:2 ETH-USD:5
pinball_0p025,all,autoarima,11,4.5454545454545459,1,2.5,4,6.5,9,BTC-USD:5 CAC:6 DAX:7 DIA:3 ETH-USD:4 HSI:1 KOSPI:2 NDX:2 NKX:9 SPY:3 TWSE:8
pinball_0p025,all,autoets,11,3.5454545454545454,1,1,2,5,9,BTC-USD:7 CAC:5 DAX:2 DIA:1 ETH-USD:9 HSI:2 KOSPI:1 NDX:1 NKX:5 SPY:1 TWSE:5
pinball_0p025,all,chronos,11,6.4545454545454541,2,5,7,7.5,11,BTC-USD:3 CAC:9 DAX:4 DIA:7 ETH-USD:2 HSI:7 KOSPI:6 NDX:7 NKX:8 SPY:7 TWSE:11
pinball_0p025,all,ewma,11,8.0909090909090917,3,7,9,10,11,BTC-USD:10 CAC:8 DAX:9 DIA:10 ETH-USD:11 HSI:6 KOSPI:8 NDX:10 NKX:4 SPY:10 TWSE:3
pinball_0p025,all,garch11,11,8.0909090909090917,2,6,9,10,12,BTC-USD:12 CAC:4 DAX:10 DIA:9 ETH-USD:10 HSI:11 KOSPI:10 NDX:9 NKX:2 SPY:8 TWSE:4
pinball_0p025,all,garch11_t,11,6.0909090909090908,2,3,6,8.5,11,BTC-USD:11 CAC:3 DAX:3 DIA:6 ETH-USD:8 HSI:9 KOSPI:9 NDX:8 NKX:3 SPY:5 TWSE:2
pinball_0p025,all,gjr,11,2.9090909090909092,1,1,2,4,7,BTC-USD:6 CAC:1 DAX:1 DIA:2 ETH-USD:7 HSI:4 KOSPI:3 NDX:4 NKX:1 SPY:2 TWSE:1
pinball_0p025,all,har,11,4.3636363636363633,2,3.5,5,5,6,BTC-USD:4 CAC:2 DAX:5 DIA:5 ETH-USD:5 HSI:3 KOSPI:5 NDX:3 NKX:6 SPY:4 TWSE:6
pinball_0p025,all,lgbm,11,9.8181818181818183,6,9,11,11,11,BTC-USD:8 CAC:11 DAX:11 DIA:11 ETH-USD:6 HSI:10 KOSPI:11 NDX:11 NKX:11 SPY:11 TWSE:7
pinball_0p025,all,moirai,11,5.9090909090909092,1,4.5,6,8.5,10,BTC-USD:1 CAC:10 DAX:6 DIA:8 ETH-USD:1 HSI:5 KOSPI:4 NDX:5 NKX:7 SPY:9 TWSE:9
pinball_0p025,all,naive,11,12.363636363636363,9,12,13,13,13,BTC-USD:9 CAC:13 DAX:13 DIA:13 ETH-USD:12 HSI:13 KOSPI:13 NDX:13 NKX:12 SPY:13 TWSE:12
pinball_0p025,all,patchtst,11,12.363636363636363,12,12,12,13,13,BTC-USD:13 CAC:12 DAX:12 DIA:12 ETH-USD:13 HSI:12 KOSPI:12 NDX:12 NKX:13 SPY:12 TWSE:13
pinball_0p025,all,timesfm,11,6.4545454545454541,2,5,7,8,10,BTC-USD:2 CAC:7 DAX:8 DIA:4 ETH-USD:3 HSI:8 KOSPI:7 NDX:6 NKX:10 SPY:6 TWSE:10
pinball_0p025,equity,autoarima,9,4.5555555555555554,1,2,3,7,9,CAC:6 DAX:7 DIA:3 HSI:1 KOSPI:2 NDX:2 NKX:9 SPY:3 TWSE:8
pinball_0p025,equity,autoets,9,2.5555555555555554,1,1,2,5,5,CAC:5 DAX:2 DIA:1 HSI:2 KOSPI:1 NDX:1 NKX:5 SPY:1 TWSE:5
pinball_0p025,equity,chronos,9,7.333333333333333,4,7,7,8,11,CAC:9 DAX:4 DIA:7 HSI:7 KOSPI:6 NDX:7 NKX:8 SPY:7 TWSE:11
pinball_0p025,equity,ewma,9,7.5555555555555554,3,6,8,10,10,CAC:8 DAX:9 DIA:10 HSI:6 KOSPI:8 NDX:10 NKX:4 SPY:10 TWSE:3
pinball_0p025,equity,garch11,9,7.4444444444444446,2,4,9,10,11,CAC:4 DAX:10 DIA:9 HSI:11 KOSPI:10 NDX:9 NKX:2 SPY:8 TWSE:4
pinball_0p025,equity,garch11_t,9,5.333333333333333,2,3,5,8,9,CAC:3 DAX:3 DIA:6 HSI:9 KOSPI:9 NDX:8 NKX:3 SPY:5 TWSE:2
pinball_0p025,equity,gjr,9,2.1111111111111112,1,1,2,3,4,CAC:1 DAX:1 DIA:2 HSI:4 KOSPI:3 NDX:4 NKX:1 SPY:2 TWSE:1
pinball_0p025,equity,har,9,4.333333333333333,2,3,5,5,6,CAC:2 DAX:5 DIA:5 HSI:3 KOSPI:5 NDX:3 NKX:6 SPY:4 TWSE:6
pinball_0p025,equity,lgbm,9,10.444444444444445,7,11,11,11,11,CAC:11 DAX:11 DIA:11 HSI:10 KOSPI:11 NDX:11 NKX:11 SPY:11 TWSE:7
pinball_0p025,equity,moirai,9,7,4,5,7,9,10,CAC:10 DAX:6 DIA:8 HSI:5 KOSPI:4 NDX:5 NKX:7 SPY:9 TWSE:9
pinball_0p025,equity,naive,9,12.777777777777779,12,13,13,13,13,CAC:13 DAX:13 DIA:13 HSI:13 KOSPI:13 NDX:13 NKX:12 SPY:13 TWSE:12
pinball_0p025,equity,patchtst,9,12.222222222222221,12,12,12,12,13,CAC:12 DAX:12 DIA:12 HSI:12 KOSPI:12 NDX:12 NKX:13 SPY:12 TWSE:13
pinball_0p025,equity,timesfm,9,7.333333333333333,4,6,7,8,10,CAC:7 DAX:8 DIA:4 HSI:8 KOSPI:7 NDX:6 NKX:10 SPY:6 TWSE:10
pinball_0p025,crypto,autoarima,2,4.5,4,4.25,4.5,4.75,5,BTC-USD:5 ETH-USD:4
pinball_0p025,crypto,autoets,2,8,7,7.5,8,8.5,9,BTC-USD:7 ETH-USD:9
pinball_0p025,crypto,chronos,2,2.5,2,2.25,2.5,2.75,3,BTC-USD:3 ETH-USD:2
pinball_0p025,crypto,ewma,2,10.5,10,10.25,10.5,10.75,11,BTC-USD:10 ETH-USD:11
pinball_0p025,crypto,garch11,2,11,10,10.5,11,11.5,12,BTC-USD:12 ETH-USD:10
pinball_0p025,crypto,garch11_t,2,9.5,8,8.75,9.5,10.25,11,BTC-USD:11 ETH-USD:8
pinball_0p025,crypto,gjr,2,6.5,6,6.25,6.5,6.75,7,BTC-USD:6 ETH-USD:7
pinball_0p025,crypto,har,2,4.5,4,4.25,4.5,4.75,5,BTC-USD:4 ETH-USD:5
pinball_0p025,crypto,lgbm,2,7,6,6.5,7,7.5,8,BTC-USD:8 ETH-USD:6
pinball_0p025,crypto,moirai,2,1,1,1,1,1,1,BTC-USD:1 ETH-USD:1
pinball_0p025,crypto,naive,2,10.5,9,9.75,10.5,11.25,12,BTC-USD:9 ETH-USD:12
pinball_0p025,crypto,patchtst,2,13,13,13,13,13,13,BTC-USD:13 ETH-USD:13
pinball_0p025,crypto,timesfm,2,2.5,2,2.25,2.5,2.75,3,BTC-USD:2 ETH-USD:3
pinball_0p05,all,autoarima,11,3.9090909090909092,1,2,4,4.5,11,BTC-USD:4 CAC:4 DAX:4 DIA:2 ETH-USD:5 HSI:1 KOSPI:2 NDX:2 NKX:11 SPY:2 TWSE:6
pinball_0p05,all,autoets,11,3.6363636363636362,1,1,3,4.5,11,BTC-USD:11 CAC:3 DAX:2 DIA:1 ETH-USD:8 HSI:3 KOSPI:1 NDX:1 NKX:5 SPY:1 TWSE:4
pinball_0p05,all,chronos,11,6.2727272727272725,2,6,6,7.5,11,BTC-USD:2 CAC:9 DAX:6 DIA:6 ETH-USD:2 HSI:7 KOSPI:6 NDX:6 NKX:8 SPY:6 TWSE:11
pinball_0p05,all,ewma,11,7.8181818181818183,2,7,8,10,11,BTC-USD:8 CAC:10 DAX:8 DIA:10 ETH-USD:11 HSI:6 KOSPI:8 NDX:10 NKX:3 SPY:10 TWSE:2
pinball_0p05,all,garch11,11,7.9090909090909092,2,6.5,9,10,10,BTC-USD:10 CAC:5 DAX:10 DIA:9 ETH-USD:10 HSI:10 KOSPI:9 NDX:9 NKX:2 SPY:8 TWSE:5
pinball_0p05,all,garch11_t,11,7.2727272727272725,3,6.5,8,9,10,BTC-USD:6 CAC:7 DAX:9 DIA:8 ETH-USD:7 HSI:9 KOSPI:10 NDX:8 NKX:4 SPY:9 TWSE:3
pinball_0p05,all,gjr,11,3.7272727272727271,1,1,3,5,9,BTC-USD:7 CAC:1 DAX:1 DIA:3 ETH-USD:9 HSI:5 KOSPI:5 NDX:5 NKX:1 SPY:3 TWSE:1
pinball_0p05,all,har,11,3.9090909090909092,2,3,4,4.5,7,BTC-USD:5 CAC:2 DAX:3 DIA:4 ETH-USD:4 HSI:2 KOSPI:3 NDX:3 NKX:6 SPY:4 TWSE:7
