asset,loss,pairs,changed_fixed_vs_auto,lost_fixed_to_auto,gained_fixed_to_auto,changed_fixed_vs_twice_auto,lost_fixed_to_twice_auto,gained_fixed_to_twice_auto,changed_auto_vs_twice_auto,lost_auto_to_twice_auto,gained_auto_to_twice_auto
DIA,fz0_0p01,78,3,0,3,2,0,2,1,1,0
DIA,fz0_0p025,78,3,1,2,3,1,2,0,0,0
DIA,fz0_0p05,78,1,0,1,1,0,1,0,0,0
DIA,fz0_avg,78,2,0,2,2,0,2,0,0,0
DIA,log_score,78,0,0,0,0,0,0,0,0,0
DIA,pinball_0p01,78,9,0,9,8,0,8,1,1,0
DIA,pinball_0p025,78,3,0,3,3,0,3,0,0,0
DIA,pinball_0p05,78,2,0,2,2,0,2,0,0,0
DIA,pinball_avg,78,1,0,1,1,0,1,0,0,0
DIA,qlike,78,1,0,1,1,0,1,0,0,0
DIA,qlike_ex_near_zero,78,1,0,1,1,0,1,0,0,0
ETH-USD,crps,78,2,0,2,2,0,2,0,0,0
ETH-USD,fz0_0p01,78,2,0,2,2,0,2,0,0,0
ETH-USD,fz0_0p025,78,1,1,0,1,1,0,0,0,0
ETH-USD,fz0_0p05,78,2,0,2,2,0,2,0,0,0
ETH-USD,fz0_avg,78,2,1,1,2,1,1,0,0,0
ETH-USD,log_score,78,0,0,0,0,0,0,0,0,0
ETH-USD,pinball_0p01,78,1,0,1,1,0,1,0,0,0
ETH-USD,pinball_0p025,78,0,0,0,0,0,0,0,0,0
ETH-USD,pinball_0p05,78,2,0,2,2,0,2,0,0,0
ETH-USD,pinball_avg,78,3,1,2,3,1,2,0,0,0
ETH-USD,qlike,78,0,0,0,0,0,0,0,0,0
ETH-USD,qlike_ex_near_zero,78,0,0,0,0,0,0,0,0,0
HSI,crps,78,1,0,1,1,0,1,0,0,0
HSI,fz0_0p01,78,0,0,0,0,0,0,0,0,0
HSI,fz0_0p025,78,0,0,0,0,0,0,0,0,0
HSI,fz0_0p05,78,3,0,3,3,0,3,0,0,0
HSI,fz0_avg,78,3,0,3,3,0,3,0,0,0
HSI,log_score,78,3,0,3,3,0,3,0,0,0
HSI,pinball_0p01,78,1,1,0,1,1,0,0,0,0
HSI,pinball_0p025,78,5,1,4,5,1,4,0,0,0
HSI,pinball_0p05,78,3,1,2,3,1,2,0,0,0
HSI,pinball_avg,78,0,0,0,0,0,0,0,0,0
HSI,qlike,78,2,1,1,2,1,1,0,0,0
HSI,qlike_ex_near_zero,78,2,1,1,2,1,1,0,0,0
KOSPI,crps,78,0,0,0,0,0,0,0,0,0
KOSPI,fz0_0p01,78,1,0,1,1,0,1,0,0,0
KOSPI,fz0_0p025,78,0,0,0,0,0,0,0,0,0
KOSPI,fz0_0p05,78,0,0,0,0,0,0,0,0,0
KOSPI,fz0_avg,78,1,0,1,1,0,1,0,0,0
KOSPI,log_score,78,1,0,1,1,0,1,0,0,0
KOSPI,pinball_0p01,78,1,0,1,1,0,1,0,0,0
KOSPI,pinball_0p025,78,1,0,1,1,0,1,0,0,0
KOSPI,pinball_0p05,78,7,4,3,7,4,3,0,0,0
KOSPI,pinball_avg,78,1,0,1,1,0,1,0,0,0
KOSPI,qlike,78,0,0,0,1,1,0,1,1,0
KOSPI,qlike_ex_near_zero,78,0,0,0,1,1,0,1,1,0
NDX,crps,78,1,0,1,1,0,1,0,0,0
NDX,fz0_0p01,78,1,0,1,1,0,1,0,0,0
NDX,fz0_0p025,78,1,1,0,1,1,0,0,0,0
NDX,fz0_0p05,78,1,1,0,1,1,0,0,0,0
NDX,fz0_avg,78,1,1,0,1,1,0,0,0,0
NDX,log_score,78,0,0,0,0,0,0,0,0,0
NDX,pinball_0p01,78,6,1,5,6,1,5,0,0,0
NDX,pinball_0p025,78,3,1,2,3,1,2,0,0,0
NDX,pinball_0p05,78,3,1,2,3,1,2,0,0,0
NDX,pinball_avg,78,5,1,4,5,1,4,0,0,0
NDX,qlike,78,0,0,0,0,0,0,0,0,0
NDX,qlike_ex_near_zero,78,0,0,0,0,0,0,0,0,0
NKX,crps,78,5,1,4,2,1,1,3,3,0
NKX,fz0_0p01,78,0,0,0,0,0,0,0,0,0
NKX,fz0_0p025,78,3,0,3,3,0,3,0,0,0
NKX,fz0_0p05,78,2,0,2,2,0,2,0,0,0
NKX,fz0_avg,78,0,0,0,0,0,0,0,0,0
NKX,log_score,78,1,0,1,1,0,1,0,0,0
NKX,pinball_0p01,78,4,0,4,3,0,3,1,1,0
NKX,pinball_0p025,78,2,0,2,3,1,2,1,1,0
NKX,pinball_0p05,78,8,1,7,6,1,5,2,2,0
NKX,pinball_avg,78,2,1,1,3,2,1,1,1,0
NKX,qlike,78,2,0,2,0,0,0,2,2,0
NKX,qlike_ex_near_zero,78,2,0,2,0,0,0,2,2,0
SPY,crps,78,0,0,0,0,0,0,0,0,0
SPY,fz0_0p01,78,2,1,1,2,1,1,0,0,0
SPY,fz0_0p025,78,1,0,1,1,0,1,0,0,0
SPY,fz0_0p05,78,1,0,1,1,0,1,0,0,0
SPY,fz0_avg,78,2,1,1,2,1,1,0,0,0
SPY,log_score,78,1,0,1,1,0,1,0,0,0
SPY,pinball_0p01,78,4,2,2,4,2,2,0,0,0
SPY,pinball_0p025,78,1,0,1,1,0,1,0,0,0
SPY,pinball_0p05,78,0,0,0,0,0,0,0,0,0
SPY,pinball_avg,78,3,0,3,3,0,3,0,0,0
SPY,qlike,78,1,0,1,1,0,1,0,0,0
SPY,qlike_ex_near_zero,78,1,0,1,1,0,1,0,0,0
TWSE,crps,78,5,0,5,5,0,5,0,0,0
TWSE,fz0_0p01,78,0,0,0,0,0,0,0,0,0
TWSE,fz0_0p025,78,0,0,0,0,0,0,0,0,0
TWSE,fz0_0p05,78,3,0,3,3,0,3,0,0,0
TWSE,fz0_avg,78,0,0,0,0,0,0,0,0,0
TWSE,log_score,78,3,0,3,3,0,3,0,0,0
TWSE,pinball_0p01,78,3,0,3,3,0,3,0,0,0
TWSE,pinball_0p025,78,2,1,1,1,1,0,1,1,0
TWSE,pinball_0p05,78,2,0,2,1,0,1,1,1,0
TWSE,pinball_avg,78,3,0,3,3,0,3,0,0,0
TWSE,qlike,78,5,0,5,4,0,4,1,1,0
TWSE,qlike_ex_near_zero,78,4,0,4,3,0,3,1,1,0
