asset,loss,model,rank
NDX,crps,timesfm,7
NKX,crps,timesfm,9
SPY,crps,timesfm,8
TWSE,crps,timesfm,10
BTC-USD,log_score,autoarima,6
CAC,log_score,autoarima,8
DAX,log_score,autoarima,5
DIA,log_score,autoarima,3
ETH-USD,log_score,autoarima,7
HSI,log_score,autoarima,4
KOSPI,log_score,autoarima,3
NDX,log_score,autoarima,3
NKX,log_score,autoarima,10
SPY,log_score,autoarima,3
TWSE,log_score,autoarima,7
BTC-USD,log_score,autoets,10
CAC,log_score,autoets,6
DAX,log_score,autoets,2
DIA,log_score,autoets,1
ETH-USD,log_score,autoets,9
HSI,log_score,autoets,5
KOSPI,log_score,autoets,2
NDX,log_score,autoets,1
NKX,log_score,autoets,9
SPY,log_score,autoets,2
TWSE,log_score,autoets,5
BTC-USD,log_score,chronos,4
CAC,log_score,chronos,7
DAX,log_score,chronos,6
DIA,log_score,chronos,8
ETH-USD,log_score,chronos,4
HSI,log_score,chronos,6
KOSPI,log_score,chronos,8
NDX,log_score,chronos,7
NKX,log_score,chronos,6
SPY,log_score,chronos,7
TWSE,log_score,chronos,11
BTC-USD,log_score,ewma,12
CAC,log_score,ewma,10
DAX,log_score,ewma,9
DIA,log_score,ewma,10
ETH-USD,log_score,ewma,11
HSI,log_score,ewma,8
KOSPI,log_score,ewma,9
NDX,log_score,ewma,10
NKX,log_score,ewma,4
SPY,log_score,ewma,10
TWSE,log_score,ewma,4
BTC-USD,log_score,garch11,7
CAC,log_score,garch11,9
DAX,log_score,garch11,10
DIA,log_score,garch11,9
ETH-USD,log_score,garch11,8
HSI,log_score,garch11,9
KOSPI,log_score,garch11,10
NDX,log_score,garch11,9
NKX,log_score,garch11,3
SPY,log_score,garch11,9
TWSE,log_score,garch11,3
BTC-USD,log_score,garch11_t,1
CAC,log_score,garch11_t,1
DAX,log_score,garch11_t,4
DIA,log_score,garch11_t,2
ETH-USD,log_score,garch11_t,1
HSI,log_score,garch11_t,1
KOSPI,log_score,garch11_t,1
NDX,log_score,garch11_t,5
NKX,log_score,garch11_t,1
SPY,log_score,garch11_t,1
TWSE,log_score,garch11_t,1
BTC-USD,log_score,gjr,8
CAC,log_score,gjr,3
DAX,log_score,gjr,8
DIA,log_score,gjr,5
ETH-USD,log_score,gjr,10
HSI,log_score,gjr,10
KOSPI,log_score,gjr,5
NDX,log_score,gjr,4
NKX,log_score,gjr,2
SPY,log_score,gjr,5
TWSE,log_score,gjr,2
BTC-USD,log_score,har,5
CAC,log_score,har,2
DAX,log_score,har,1
DIA,log_score,har,4
ETH-USD,log_score,har,5
HSI,log_score,har,3
KOSPI,log_score,har,6
NDX,log_score,har,2
NKX,log_score,har,7
SPY,log_score,har,4
TWSE,log_score,har,6
BTC-USD,log_score,lgbm,9
CAC,log_score,lgbm,11
DAX,log_score,lgbm,11
DIA,log_score,lgbm,11
ETH-USD,log_score,lgbm,6
HSI,log_score,lgbm,11
KOSPI,log_score,lgbm,11
NDX,log_score,lgbm,11
NKX,log_score,lgbm,11
SPY,log_score,lgbm,11
TWSE,log_score,lgbm,8
BTC-USD,log_score,moirai,3
CAC,log_score,moirai,4
DAX,log_score,moirai,3
DIA,log_score,moirai,6
ETH-USD,log_score,moirai,3
HSI,log_score,moirai,2
KOSPI,log_score,moirai,4
NDX,log_score,moirai,6
NKX,log_score,moirai,5
SPY,log_score,moirai,6
TWSE,log_score,moirai,10
BTC-USD,log_score,naive,11
CAC,log_score,naive,13
DAX,log_score,naive,12
DIA,log_score,naive,13
ETH-USD,log_score,naive,12
HSI,log_score,naive,13
KOSPI,log_score,naive,13
NDX,log_score,naive,13
NKX,log_score,naive,12
SPY,log_score,naive,13
TWSE,log_score,naive,12
BTC-USD,log_score,patchtst,13
CAC,log_score,patchtst,12
DAX,log_score,patchtst,13
DIA,log_score,patchtst,12
ETH-USD,log_score,patchtst,13
HSI,log_score,patchtst,12
KOSPI,log_score,patchtst,12
NDX,log_score,patchtst,12
NKX,log_score,patchtst,13
SPY,log_score,patchtst,12
TWSE,log_score,patchtst,13
BTC-USD,log_score,timesfm,2
CAC,log_score,timesfm,5
DAX,log_score,timesfm,7
DIA,log_score,timesfm,7
ETH-USD,log_score,timesfm,2
HSI,log_score,timesfm,7
KOSPI,log_score,timesfm,7
NDX,log_score,timesfm,8
NKX,log_score,timesfm,8
SPY,log_score,timesfm,8
TWSE,log_score,timesfm,9
BTC-USD,pinball_0p01,autoarima,6
CAC,pinball_0p01,autoarima,6
DAX,pinball_0p01,autoarima,7
DIA,pinball_0p01,autoarima,4
ETH-USD,pinball_0p01,autoarima,2
HSI,pinball_0p01,autoarima,3
KOSPI,pinball_0p01,autoarima,2
NDX,pinball_0p01,autoarima,3
NKX,pinball_0p01,autoarima,9
SPY,pinball_0p01,autoarima,5
TWSE,pinball_0p01,autoarima,8
BTC-USD,pinball_0p01,autoets,10
CAC,pinball_0p01,autoets,5
DAX,pinball_0p01,autoets,3
DIA,pinball_0p01,autoets,2
ETH-USD,pinball_0p01,autoets,9
HSI,pinball_0p01,autoets,1
KOSPI,pinball_0p01,autoets,1
NDX,pinball_0p01,autoets,1
NKX,pinball_0p01,autoets,5
SPY,pinball_0p01,autoets,2
TWSE,pinball_0p01,autoets,5
BTC-USD,pinball_0p01,chronos,3
CAC,pinball_0p01,chronos,9
DAX,pinball_0p01,chronos,5
DIA,pinball_0p01,chronos,8
ETH-USD,pinball_0p01,chronos,3
HSI,pinball_0p01,chronos,10
KOSPI,pinball_0p01,chronos,8
NDX,pinball_0p01,chronos,7
NKX,pinball_0p01,chronos,8
SPY,pinball_0p01,chronos,8
TWSE,pinball_0p01,chronos,11
BTC-USD,pinball_0p01,ewma,12
CAC,pinball_0p01,ewma,8
DAX,pinball_0p01,ewma,6
DIA,pinball_0p01,ewma,10
ETH-USD,pinball_0p01,ewma,12
HSI,pinball_0p01,ewma,6
KOSPI,pinball_0p01,ewma,7
NDX,pinball_0p01,ewma,10
NKX,pinball_0p01,ewma,4
SPY,pinball_0p01,ewma,10
TWSE,pinball_0p01,ewma,3
BTC-USD,pinball_0p01,garch11,9
CAC,pinball_0p01,garch11,3
DAX,pinball_0p01,garch11,10
DIA,pinball_0p01,garch11,6
ETH-USD,pinball_0p01,garch11,10
HSI,pinball_0p01,garch11,8
KOSPI,pinball_0p01,garch11,10
NDX,pinball_0p01,garch11,9
NKX,pinball_0p01,garch11,3
SPY,pinball_0p01,garch11,7
TWSE,pinball_0p01,garch11,4
BTC-USD,pinball_0p01,garch11_t,11
CAC,pinball_0p01,garch11_t,2
DAX,pinball_0p01,garch11_t,1
DIA,pinball_0p01,garch11_t,1
ETH-USD,pinball_0p01,garch11_t,6
HSI,pinball_0p01,garch11_t,4
KOSPI,pinball_0p01,garch11_t,3
NDX,pinball_0p01,garch11_t,5
NKX,pinball_0p01,garch11_t,2
SPY,pinball_0p01,garch11_t,1
TWSE,pinball_0p01,garch11_t,1
BTC-USD,pinball_0p01,gjr,5
CAC,pinball_0p01,gjr,1
DAX,pinball_0p01,gjr,2
DIA,pinball_0p01,gjr,3
ETH-USD,pinball_0p01,gjr,7
HSI,pinball_0p01,gjr,2
KOSPI,pinball_0p01,gjr,4
NDX,pinball_0p01,gjr,4
NKX,pinball_0p01,gjr,1
SPY,pinball_0p01,gjr,3
TWSE,pinball_0p01,gjr,2
BTC-USD,pinball_0p01,har,4
CAC,pinball_0p01,har,4
DAX,pinball_0p01,har,4
DIA,pinball_0p01,har,5
ETH-USD,pinball_0p01,har,4
HSI,pinball_0p01,har,5
KOSPI,pinball_0p01,har,6
NDX,pinball_0p01,har,2
NKX,pinball_0p01,har,7
SPY,pinball_0p01,har,4
TWSE,pinball_0p01,har,6
BTC-USD,pinball_0p01,lgbm,8
CAC,pinball_0p01,lgbm,11
DAX,pinball_0p01,lgbm,11
DIA,pinball_0p01,lgbm,11
ETH-USD,pinball_0p01,lgbm,8
HSI,pinball_0p01,lgbm,11
KOSPI,pinball_0p01,lgbm,11
NDX,pinball_0p01,lgbm,11
NKX,pinball_0p01,lgbm,11
SPY,pinball_0p01,lgbm,11
TWSE,pinball_0p01,lgbm,7
BTC-USD,pinball_0p01,moirai,1
CAC,pinball_0p01,moirai,10
DAX,pinball_0p01,moirai,9
DIA,pinball_0p01,moirai,9
ETH-USD,pinball_0p01,moirai,1
HSI,pinball_0p01,moirai,7
KOSPI,pinball_0p01,moirai,5
NDX,pinball_0p01,moirai,8
NKX,pinball_0p01,moirai,6
SPY,pinball_0p01,moirai,9
TWSE,pinball_0p01,moirai,10
BTC-USD,pinball_0p01,naive,7
CAC,pinball_0p01,naive,12
DAX,pinball_0p01,naive,12
DIA,pinball_0p01,naive,13
ETH-USD,pinball_0p01,naive,11
HSI,pinball_0p01,naive,13
KOSPI,pinball_0p01,naive,13
NDX,pinball_0p01,naive,13
NKX,pinball_0p01,naive,12
SPY,pinball_0p01,naive,13
TWSE,pinball_0p01,naive,12
BTC-USD,pinball_0p01,patchtst,13
CAC,pinball_0p01,patchtst,13
DAX,pinball_0p01,patchtst,13
DIA,pinball_0p01,patchtst,12
ETH-USD,pinball_0p01,patchtst,13
HSI,pinball_0p01,patchtst,12
KOSPI,pinball_0p01,patchtst,12
NDX,pinball_0p01,patchtst,12
NKX,pinball_0p01,patchtst,13
SPY,pinball_0p01,patchtst,12
TWSE,pinball_0p01,patchtst,13
BTC-USD,pinball_0p01,timesfm,2
CAC,pinball_0p01,timesfm,7
DAX,pinball_0p01,timesfm,8
DIA,pinball_0p01,timesfm,7
ETH-USD,pinball_0p01,timesfm,5
HSI,pinball_0p01,timesfm,9
KOSPI,pinball_0p01,timesfm,9
NDX,pinball_0p01,timesfm,6
NKX,pinball_0p01,timesfm,10
SPY,pinball_0p01,timesfm,6
TWSE,pinball_0p01,timesfm,9
BTC-USD,pinball_0p025,autoarima,5
CAC,pinball_0p025,autoarima,6
DAX,pinball_0p025,autoarima,7
DIA,pinball_0p025,autoarima,3
ETH-USD,pinball_0p025,autoarima,4
HSI,pinball_0p025,autoarima,1
KOSPI,pinball_0p025,autoarima,2
NDX,pinball_0p025,autoarima,2
NKX,pinball_0p025,autoarima,9
SPY,pinball_0p025,autoarima,3
TWSE,pinball_0p025,autoarima,8
BTC-USD,pinball_0p025,autoets,7
CAC,pinball_0p025,autoets,5
DAX,pinball_0p025,autoets,2
DIA,pinball_0p025,autoets,1
ETH-USD,pinball_0p025,autoets,9
HSI,pinball_0p025,autoets,2
KOSPI,pinball_0p025,autoets,1
NDX,pinball_0p025,autoets,1
NKX,pinball_0p025,autoets,5
SPY,pinball_0p025,autoets,1
TWSE,pinball_0p025,autoets,5
BTC-USD,pinball_0p025,chronos,3
CAC,pinball_0p025,chronos,9
DAX,pinball_0p025,chronos,4
DIA,pinball_0p025,chronos,7
ETH-USD,pinball_0p025,chronos,2
HSI,pinball_0p025,chronos,7
KOSPI,pinball_0p025,chronos,6
NDX,pinball_0p025,chronos,7
NKX,pinball_0p025,chronos,8
SPY,pinball_0p025,chronos,7
TWSE,pinball_0p025,chronos,11
BTC-USD,pinball_0p025,ewma,10
CAC,pinball_0p025,ewma,8
DAX,pinball_0p025,ewma,9
DIA,pinball_0p025,ewma,10
ETH-USD,pinball_0p025,ewma,11
HSI,pinball_0p025,ewma,6
KOSPI,pinball_0p025,ewma,8
NDX,pinball_0p025,ewma,10
NKX,pinball_0p025,ewma,4
SPY,pinball_0p025,ewma,10
TWSE,pinball_0p025,ewma,3
BTC-USD,pinball_0p025,garch11,12
CAC,pinball_0p025,garch11,4
DAX,pinball_0p025,garch11,10
DIA,pinball_0p025,garch11,9
ETH-USD,pinball_0p025,garch11,10
HSI,pinball_0p025,garch11,11
KOSPI,pinball_0p025,garch11,10
NDX,pinball_0p025,garch11,9
NKX,pinball_0p025,garch11,2
SPY,pinball_0p025,garch11,8
TWSE,pinball_0p025,garch11,4
BTC-USD,pinball_0p025,garch11_t,11
CAC,pinball_0p025,garch11_t,3
DAX,pinball_0p025,garch11_t,3
DIA,pinball_0p025,garch11_t,6
ETH-USD,pinball_0p025,garch11_t,8
HSI,pinball_0p025,garch11_t,9
KOSPI,pinball_0p025,garch11_t,9
NDX,pinball_0p025,garch11_t,8
NKX,pinball_0p025,garch11_t,3
SPY,pinball_0p025,garch11_t,5
TWSE,pinball_0p025,garch11_t,2
BTC-USD,pinball_0p025,gjr,6
CAC,pinball_0p025,gjr,1
DAX,pinball_0p025,gjr,1
DIA,pinball_0p025,gjr,2
ETH-USD,pinball_0p025,gjr,7
HSI,pinball_0p025,gjr,4
KOSPI,pinball_0p025,gjr,3
NDX,pinball_0p025,gjr,4
NKX,pinball_0p025,gjr,1
SPY,pinball_0p025,gjr,2
TWSE,pinball_0p025,gjr,1
BTC-USD,pinball_0p025,har,4
CAC,pinball_0p025,har,2
DAX,pinball_0p025,har,5
DIA,pinball_0p025,har,5
ETH-USD,pinball_0p025,har,5
HSI,pinball_0p025,har,3
KOSPI,pinball_0p025,har,5
NDX,pinball_0p025,har,3
NKX,pinball_0p025,har,6
SPY,pinball_0p025,har,4
TWSE,pinball_0p025,har,6
BTC-USD,pinball_0p025,lgbm,8
CAC,pinball_0p025,lgbm,11
DAX,pinball_0p025,lgbm,11
DIA,pinball_0p025,lgbm,11
ETH-USD,pinball_0p025,lgbm,6
HSI,pinball_0p025,lgbm,10
KOSPI,pinball_0p025,lgbm,11
NDX,pinball_0p025,lgbm,11
NKX,pinball_0p025,lgbm,11
SPY,pinball_0p025,lgbm,11
TWSE,pinball_0p025,lgbm,7
BTC-USD,pinball_0p025,moirai,1
CAC,pinball_0p025,moirai,10
DAX,pinball_0p025,moirai,6
DIA,pinball_0p025,moirai,8
ETH-USD,pinball_0p025,moirai,1
HSI,pinball_0p025,moirai,5
KOSPI,pinball_0p025,moirai,4
NDX,pinball_0p025,moirai,5
NKX,pinball_0p025,moirai,7
SPY,pinball_0p025,moirai,9
TWSE,pinball_0p025,moirai,9
BTC-USD,pinball_0p025,naive,9
CAC,pinball_0p025,naive,13
DAX,pinball_0p025,naive,13
DIA,pinball_0p025,naive,13
ETH-USD,pinball_0p025,naive,12
HSI,pinball_0p025,naive,13
KOSPI,pinball_0p025,naive,13
NDX,pinball_0p025,naive,13
NKX,pinball_0p025,naive,12
SPY,pinball_0p025,naive,13
TWSE,pinball_0p025,naive,12
BTC-USD,pinball_0p025,patchtst,13
CAC,pinball_0p025,patchtst,12
DAX,pinball_0p025,patchtst,12
DIA,pinball_0p025,patchtst,12
ETH-USD,pinball_0p025,patchtst,13
HSI,pinball_0p025,patchtst,12
KOSPI,pinball_0p025,patchtst,12
NDX,pinball_0p025,patchtst,12
NKX,pinball_0p025,patchtst,13
SPY,pinball_0p025,patchtst,12
TWSE,pinball_0p025,patchtst,13
BTC-USD,pinball_0p025,timesfm,2
CAC,pinball_0p025,timesfm,7
DAX,pinball_0p025,timesfm,8
DIA,pinball_0p025,timesfm,4
ETH-USD,pinball_0p025,timesfm,3
HSI,pinball_0p025,timesfm,8
KOSPI,pinball_0p025,timesfm,7
NDX,pinball_0p025,timesfm,6
NKX,pinball_0p025,timesfm,10
SPY,pinball_0p025,timesfm,6
TWSE,pinball_0p025,timesfm,10
BTC-USD,pinball_0p05,autoarima,4
CAC,pinball_0p05,autoarima,4
DAX,pinball_0p05,autoarima,4
DIA,pinball_0p05,autoarima,2
ETH-USD,pinball_0p05,autoarima,5
HSI,pinball_0p05,autoarima,1
KOSPI,pinball_0p05,autoarima,2
NDX,pinball_0p05,autoarima,2
NKX,pinball_0p05,autoarima,11
SPY,pinball_0p05,autoarima,2
TWSE,pinball_0p05,autoarima,6
BTC-USD,pinball_0p05,autoets,11
CAC,pinball_0p05,autoets,3
DAX,pinball_0p05,autoets,2
DIA,pinball_0p05,autoets,1
ETH-USD,pinball_0p05,autoets,8
HSI,pinball_0p05,autoets,3
KOSPI,pinball_0p05,autoets,1
NDX,pinball_0p05,autoets,1
NKX,pinball_0p05,autoets,5
SPY,pinball_0p05,autoets,1
TWSE,pinball_0p05,autoets,4
BTC-USD,pinball_0p05,chronos,2
CAC,pinball_0p05,chronos,9
DAX,pinball_0p05,chronos,6
DIA,pinball_0p05,chronos,6
ETH-USD,pinball_0p05,chronos,2
HSI,pinball_0p05,chronos,7
KOSPI,pinball_0p05,chronos,6
NDX,pinball_0p05,chronos,6
NKX,pinball_0p05,chronos,8
SPY,pinball_0p05,chronos,6
TWSE,pinball_0p05,chronos,11
BTC-USD,pinball_0p05,ewma,8
CAC,pinball_0p05,ewma,10
DAX,pinball_0p05,ewma,8
DIA,pinball_0p05,ewma,10
ETH-USD,pinball_0p05,ewma,11
HSI,pinball_0p05,ewma,6
KOSPI,pinball_0p05,ewma,8
NDX,pinball_0p05,ewma,10
NKX,pinball_0p05,ewma,3
SPY,pinball_0p05,ewma,10
TWSE,pinball_0p05,ewma,2
BTC-USD,pinball_0p05,garch11,10
CAC,pinball_0p05,garch11,5
DAX,pinball_0p05,garch11,10
DIA,pinball_0p05,garch11,9
ETH-USD,pinball_0p05,garch11,10
HSI,pinball_0p05,garch11,10
KOSPI,pinball_0p05,garch11,9
NDX,pinball_0p05,garch11,9
NKX,pinball_0p05,garch11,2
SPY,pinball_0p05,garch11,8
TWSE,pinball_0p05,garch11,5
BTC-USD,pinball_0p05,garch11_t,6
CAC,pinball_0p05,garch11_t,7
DAX,pinball_0p05,garch11_t,9
DIA,pinball_0p05,garch11_t,8
ETH-USD,pinball_0p05,garch11_t,7
HSI,pinball_0p05,garch11_t,9
KOSPI,pinball_0p05,garch11_t,10
NDX,pinball_0p05,garch11_t,8
NKX,pinball_0p05,garch11_t,4
SPY,pinball_0p05,garch11_t,9
TWSE,pinball_0p05,garch11_t,3
BTC-USD,pinball_0p05,gjr,7
CAC,pinball_0p05,gjr,1
DAX,pinball_0p05,gjr,1
DIA,pinball_0p05,gjr,3
ETH-USD,pinball_0p05,gjr,9
HSI,pinball_0p05,gjr,5
KOSPI,pinball_0p05,gjr,5
NDX,pinball_0p05,gjr,5
NKX,pinball_0p05,gjr,1
SPY,pinball_0p05,gjr,3
TWSE,pinball_0p05,gjr,1
BTC-USD,pinball_0p05,har,5
CAC,pinball_0p05,har,2
DAX,pinball_0p05,har,3
DIA,pinball_0p05,har,4
ETH-USD,pinball_0p05,har,4
HSI,pinball_0p05,har,2
KOSPI,pinball_0p05,har,3
NDX,pinball_0p05,har,3
NKX,pinball_0p05,har,6
SPY,pinball_0p05,har,4
TWSE,pinball_0p05,har,7
BTC-USD,pinball_0p05,lgbm,9
CAC,pinball_0p05,lgbm,11
DAX,pinball_0p05,lgbm,11
DIA,pinball_0p05,lgbm,12
ETH-USD,pinball_0p05,lgbm,6
HSI,pinball_0p05,lgbm,11
KOSPI,pinball_0p05,lgbm,11
NDX,pinball_0p05,lgbm,11
NKX,pinball_0p05,lgbm,10
SPY,pinball_0p05,lgbm,11
TWSE,pinball_0p05,lgbm,9
BTC-USD,pinball_0p05,moirai,1
CAC,pinball_0p05,moirai,8
DAX,pinball_0p05,moirai,5
DIA,pinball_0p05,moirai,5
ETH-USD,pinball_0p05,moirai,1
HSI,pinball_0p05,moirai,4
KOSPI,pinball_0p05,moirai,4
NDX,pinball_0p05,moirai,4
NKX,pinball_0p05,moirai,7
SPY,pinball_0p05,moirai,5
TWSE,pinball_0p05,moirai,8
BTC-USD,pinball_0p05,naive,12
CAC,pinball_0p05,naive,13
DAX,pinball_0p05,naive,13
DIA,pinball_0p05,naive,13
ETH-USD,pinball_0p05,naive,13
HSI,pinball_0p05,naive,13
KOSPI,pinball_0p05,naive,13
NDX,pinball_0p05,naive,13
NKX,pinball_0p05,naive,13
SPY,pinball_0p05,naive,13
TWSE,pinball_0p05,naive,12
BTC-USD,pinball_0p05,patchtst,13
CAC,pinball_0p05,patchtst,12
DAX,pinball_0p05,patchtst,12
DIA,pinball_0p05,patchtst,11
ETH-USD,pinball_0p05,patchtst,12
HSI,pinball_0p05,patchtst,12
KOSPI,pinball_0p05,patchtst,12
NDX,pinball_0p05,patchtst,12
NKX,pinball_0p05,patchtst,12
SPY,pinball_0p05,patchtst,12
TWSE,pinball_0p05,patchtst,13
BTC-USD,pinball_0p05,timesfm,3
CAC,pinball_0p05,timesfm,6
DAX,pinball_0p05,timesfm,7
DIA,pinball_0p05,timesfm,7
ETH-USD,pinball_0p05,timesfm,3
HSI,pinball_0p05,timesfm,8
KOSPI,pinball_0p05,timesfm,7
NDX,pinball_0p05,timesfm,7
NKX,pinball_0p05,timesfm,9
SPY,pinball_0p05,timesfm,7
TWSE,pinball_0p05,timesfm,10
BTC-USD,pinball_avg,autoarima,5
CAC,pinball_avg,autoarima,6
DAX,pinball_avg,autoarima,6
DIA,pinball_avg,autoarima,3
ETH-USD,pinball_avg,autoarima,4
HSI,pinball_avg,autoarima,1
KOSPI,pinball_avg,autoarima,2
NDX,pinball_avg,autoarima,3
NKX,pinball_avg,autoarima,10
SPY,pinball_avg,autoarima,3
TWSE,pinball_avg,autoarima,8
BTC-USD,pinball_avg,autoets,9
CAC,pinball_avg,autoets,5
DAX,pinball_avg,autoets,2
DIA,pinball_avg,autoets,1
ETH-USD,pinball_avg,autoets,9
HSI,pinball_avg,autoets,2
KOSPI,pinball_avg,autoets,1
NDX,pinball_avg,autoets,1
NKX,pinball_avg,autoets,5
SPY,pinball_avg,autoets,1
TWSE,pinball_avg,autoets,5
BTC-USD,pinball_avg,chronos,3
CAC,pinball_avg,chronos,8
DAX,pinball_avg,chronos,5
DIA,pinball_avg,chronos,7
ETH-USD,pinball_avg,chronos,2
HSI,pinball_avg,chronos,8
KOSPI,pinball_avg,chronos,6
NDX,pinball_avg,chronos,7
NKX,pinball_avg,chronos,8
SPY,pinball_avg,chronos,6
TWSE,pinball_avg,chronos,11
BTC-USD,pinball_avg,ewma,12
CAC,pinball_avg,ewma,9
DAX,pinball_avg,ewma,8
DIA,pinball_avg,ewma,10
ETH-USD,pinball_avg,ewma,11
HSI,pinball_avg,ewma,6
KOSPI,pinball_avg,ewma,9
NDX,pinball_avg,ewma,10
NKX,pinball_avg,ewma,4
SPY,pinball_avg,ewma,10
TWSE,pinball_avg,ewma,3
BTC-USD,pinball_avg,garch11,11
CAC,pinball_avg,garch11,4
DAX,pinball_avg,garch11,10
DIA,pinball_avg,garch11,9
ETH-USD,pinball_avg,garch11,10
HSI,pinball_avg,garch11,10
KOSPI,pinball_avg,garch11,10
NDX,pinball_avg,garch11,9
NKX,pinball_avg,garch11,3
SPY,pinball_avg,garch11,9
TWSE,pinball_avg,garch11,4
BTC-USD,pinball_avg,garch11_t,7
CAC,pinball_avg,garch11_t,3
DAX,pinball_avg,garch11_t,4
DIA,pinball_avg,garch11_t,5
ETH-USD,pinball_avg,garch11_t,7
HSI,pinball_avg,garch11_t,7
KOSPI,pinball_avg,garch11_t,8
NDX,pinball_avg,garch11_t,8
NKX,pinball_avg,garch11_t,2
SPY,pinball_avg,garch11_t,5
TWSE,pinball_avg,garch11_t,2
BTC-USD,pinball_avg,gjr,6
CAC,pinball_avg,gjr,1
DAX,pinball_avg,gjr,1
DIA,pinball_avg,gjr,2
ETH-USD,pinball_avg,gjr,8
HSI,pinball_avg,gjr,4
KOSPI,pinball_avg,gjr,3
NDX,pinball_avg,gjr,4
NKX,pinball_avg,gjr,1
SPY,pinball_avg,gjr,2
TWSE,pinball_avg,gjr,1
BTC-USD,pinball_avg,har,4
CAC,pinball_avg,har,2
DAX,pinball_avg,har,3
DIA,pinball_avg,har,4
ETH-USD,pinball_avg,har,5
HSI,pinball_avg,har,3
KOSPI,pinball_avg,har,5
NDX,pinball_avg,har,2
NKX,pinball_avg,har,6
SPY,pinball_avg,har,4
TWSE,pinball_avg,har,6
BTC-USD,pinball_avg,lgbm,8
CAC,pinball_avg,lgbm,11
DAX,pinball_avg,lgbm,11
