asset,config,fit_origin,fit_status,fallback,n_rows,n_equations,omega_store,alpha_store,beta_store,store_max_rel_residual,alpha_plus_beta_store,store_recursion_reproduced,omega_ref,alpha_ref,beta_ref,alpha_plus_beta_ref,fallback_ref,ref_max_rel_residual,beta_ref_pow_window,alpha_plus_beta_governing
BTC-USD,garch11_t,709,ok|flag=0 nu=3.19793,False,21,20,5.1458133610637371e-06,0.081369463843639855,0.91863053615636026,6.9127699216134844e-16,1,True,5.1458133610646926e-06,0.081369463843639897,0.91863053615636003,1,False,4.1476619529680904e-16,3.7191084494561492e-19,1
BTC-USD,garch11_t,730,fallback=ewma|flag=8,True,21,20,9.4829658999375478e-17,0.059999999999997833,0.94000000000004358,5.472662372810624e-13,1.0000000000000413,True,5.554328121505279e-06,0.080763811591324702,0.91923618967084841,1.000000001262173,True,0.047766624638462943,5.1707904717049594e-19,1.000000001262173
BTC-USD,garch11_t,751,ok|flag=0 nu=3.14142,False,21,20,7.4859669203896371e-06,0.086085442050452765,0.91391455795032073,9.0223832430562466e-16,1.0000000000007736,True,7.4859669203897345e-06,0.086085442050452696,0.91391455795032039,1.0000000000007729,False,5.1556475674607121e-16,2.8365972535524964e-20,1.0000000000007729
BTC-USD,garch11_t,772,fallback=ewma|flag=8,True,21,20,-2.3811135136970234e-17,0.060000000000000608,0.94000000000002903,1.4937611234445967e-13,1.0000000000000298,True,9.858901725589252e-06,0.089525307807262797,0.9104746990383864,1.0000000068456492,True,0.046566613133233452,4.3046802429909401e-21,1.0000000068456492
BTC-USD,garch11_t,793,ok|flag=0 nu=2.95467,False,21,20,7.01635529223431e-06,0.083229305840686663,0.916770694159314,6.2694014149093814e-15,1.0000000000000007,True,7.0163552922307439e-06,0.083229305840686302,0.91677069415931356,1,False,4.6637103686505693e-16,1.3500846866665917e-19,1
BTC-USD,garch11_t,814,ok|flag=0 nu=2.89695,False,21,20,1.1573587427981911e-05,0.089744670212446143,0.91025532978752677,1.1627178711230803e-13,0.99999999999997291,True,1.1573587427892646e-05,0.089744670212446198,0.91025532978752643,0.9999999999999728,False,5.3787498289274445e-16,3.8160605901887174e-21,0.9999999999999728
BTC-USD,garch11_t,835,ok|flag=0 nu=2.92536,False,21,20,1.1458739290634396e-05,0.090740524356406893,0.90925947605089164,1.1066635515080719e-12,1.0000000004072986,True,1.1458739290015968e-05,0.090740524356407004,0.90925947605089164,1.0000000004072986,False,4.4421350957963933e-16,2.207587486694309e-21,1.0000000004072986
BTC-USD,garch11_t,856,ok|flag=0 nu=2.88046,False,21,20,1.5241576356951316e-05,0.094419827489700459,0.90558017251029388,4.743144833648035e-14,0.99999999999999434,True,1.5241576356919427e-05,0.094419827489700403,0.90558017251029321,0.99999999999999378,False,5.4433125759453441e-16,2.9070505282317683e-22,0.99999999999999378
BTC-USD,garch11_t,877,ok|flag=0 nu=2.83112,False,21,20,1.6701874552754019e-05,0.094732952316746388,0.90526704768325383,3.378084808169465e-13,1.0000000000000002,True,1.6701874552478093e-05,0.094732952316746305,0.90526704768325394,1.0000000000000004,False,9.1945794984543979e-16,2.4454344527814143e-22,1.0000000000000004
BTC-USD,garch11_t,898,ok|flag=0 nu=2.84722,False,21,20,1.4157327713056185e-05,0.085433527058151548,0.91456647340590891,4.1579158813313837e-14,1.0000000004640603,True,1.4157327713028409e-05,0.085433527058151604,0.91456647340590802,1.0000000004640597,False,4.2782775156649272e-16,4.0517103035243505e-20,1.0000000004640597
BTC-USD,garch11_t,919,ok|flag=0 nu=2.77204,False,21,20,3.2876776127717638e-05,0.10369458772063156,0.89630541227935867,3.9751759776942937e-15,0.99999999999999023,True,3.2876776127721162e-05,0.1036945877206316,0.89630541227935878,0.99999999999999045,False,6.2810533228410654e-16,1.6904776930506122e-24,0.99999999999999045
BTC-USD,garch11_t,940,fallback=ewma|flag=8,True,21,20,3.8782618145224929e-17,0.060000000000002829,0.93999999999999773,9.8843950059585788e-14,1.0000000000000004,True,0.00010337902070919999,0.14271749933863409,0.85728253409847388,1.000000033437108,True,0.079265528156416479,3.6474373834799734e-34,1.000000033437108
BTC-USD,garch11_t,961,ok|flag=0 nu=2.60806,False,21,20,9.7794527622210807e-05,0.14089290073100968,0.85910709926899065,8.9412898071551655e-16,1.0000000000000004,True,9.7794527622209126e-05,0.1408929007310096,0.85910709926899076,1.0000000000000004,False,3.8624747635151898e-16,1.055975715805155e-33,1.0000000000000004
BTC-USD,garch11_t,982,ok|flag=0 nu=2.53279,False,21,20,0.00010639249483531984,0.13403861342413315,0.8659613865758673,1.0056109269170066e-15,1.0000000000000004,True,0.00010639249483529999,0.13403861342413301,0.86596138657586685,1,False,1.2446502564970641e-14,5.6138858471392182e-32,1
BTC-USD,garch11_t,1003,ok|flag=0 nu=2.49631,False,21,20,6.3626841527135726e-05,0.080866253688571588,0.91913374630340217,1.1531675306851451e-13,0.99999999999197375,True,6.3626841526910144e-05,0.080866253688571504,0.91913374630340283,0.99999999999197442,False,6.5228285951981425e-16,4.8905289254988491e-19,0.99999999999197442
BTC-USD,garch11_t,1024,ok|flag=0 nu=2.50779,False,21,20,4.0916043143697029e-05,0.050209366381667175,0.94979063363112171,1.6562077078293798e-12,1.0000000000127889,True,4.09160431448065e-05,0.0502093663821295,0.94979063363048644,1.0000000000126159,False,2.1200650265851614e-12,6.5154022568144972e-12,1.0000000000126159
BTC-USD,garch11_t,1045,ok|flag=0 nu=2.47799,False,21,20,0.00010268262265833367,0.10324673182736777,0.89675326817263146,6.86805195943211e-16,0.99999999999999922,True,0.00010268262265830001,0.10324673182736779,0.89675326817263212,1,False,2.9371665481021242e-14,2.1701215404494645e-24,1
BTC-USD,garch11_t,1066,ok|flag=0 nu=2.63294,False,21,20,5.3592716608556184e-05,0.092812918080202644,0.90718708196337938,1.9437574467034362e-15,1.000000000043582,True,5.3592716608557553e-05,0.092812918080202797,0.90718708196337905,1.000000000043582,False,4.9884110295003493e-16,7.0538901690958966e-22,1.000000000043582
BTC-USD,garch11_t,1087,ok|flag=0 nu=2.48983,False,21,20,0.00013124500993112455,0.12569561472154811,0.87430438527843957,3.5297238479394939e-15,0.99999999999998768,True,0.00013124500993109999,0.12569561472154819,0.87430438527844023,0.99999999999998845,False,1.3973974367875412e-14,6.7815403443729476e-30,0.99999999999998845
BTC-USD,garch11_t,1108,ok|flag=0 nu=2.62737,False,21,20,0.00011143997914781369,0.12764503941083472,0.86600971421773687,9.7905279100436892e-16,0.99365475362857159,True,0.0001114399791478,0.12764503941083469,0.86600971421773698,0.99365475362857159,False,1.2674316391189598e-14,5.7727375028756697e-32,0.99365475362857159
BTC-USD,garch11_t,1129,ok|flag=0 nu=2.81975,False,21,20,6.1989561210244203e-05,0.081218416529840742,0.89875394555233834,8.2476650402608229e-15,0.97997236208217908,True,6.1989561210237847e-05,0.081218416529840604,0.8987539455523379,0.97997236208217842,False,4.2056249409099634e-16,6.613098316658833e-24,0.97997236208217842
BTC-USD,garch11_t,1150,ok|flag=0 nu=2.79616,False,21,20,7.112712703191099e-05,0.094944357201220075,0.88306720113645554,6.8672537925844408e-14,0.97801155833767561,True,7.112712703185987e-05,0.094944357201220006,0.88306720113645543,0.97801155833767561,False,5.8480715000767655e-16,9.9283540145149721e-28,0.97801155833767561
BTC-USD,garch11_t,1171,ok|flag=0 nu=3.0687,False,21,20,2.9249938392655811e-05,0.034036593820762295,0.93846331020874962,1.9604127470278856e-14,0.97249990402951192,True,2.9249938392633994e-05,0.034036593820762101,0.93846331020877383,0.97249990402953601,False,2.2804801342977443e-14,1.6167733496100916e-14,0.97249990402953601
BTC-USD,garch11_t,1192,ok|flag=0 nu=2.80339,False,21,20,5.5976860627583414e-05,0.04293781474834546,0.91936312181994206,6.2195932527040966e-16,0.96230093656828752,True,5.597686062758336e-05,0.042937814748345397,0.9193631218199424,0.96230093656828763,False,4.6945445961852338e-16,5.5403794476260764e-19,0.96230093656828763
BTC-USD,garch11_t,1213,ok|flag=0 nu=2.73781,False,21,20,8.7729334741569519e-05,0.062947860860153804,0.88951974652067411,1.2235138103738553e-15,0.95246760738082792,True,8.7729334741570928e-05,0.062947860860153498,0.889519746520674,0.95246760738082759,False,5.5701344009349799e-16,3.7826549972161004e-26,0.95246760738082759
BTC-USD,garch11_t,1234,ok|flag=0 nu=2.70854,False,21,20,8.2298611889354754e-05,0.065127793344612828,0.8971844751812792,1.4972882709139812e-15,0.96231226852589202,True,8.2298611889354076e-05,0.065127793344612606,0.89718447518127875,0.96231226852589136,False,5.6728694729205849e-16,2.7597833296839591e-24,0.96231226852589136
BTC-USD,garch11_t,1255,ok|flag=0 nu=2.44915,False,21,20,0.00012746181209301641,0.11920316914069917,0.88079683085930005,1.0853514244078704e-14,0.99999999999999922,True,0.0001274618120929,0.1192031691406992,0.88079683085930061,1,False,3.0079739476446692e-14,2.7407642396921084e-28,1
BTC-USD,garch11_t,1276,ok|flag=0 nu=2.65764,False,21,20,8.4630578810635998e-05,0.10059859671518334,0.8893253882577683,4.0752769675823331e-16,0.98992398497295164,True,8.4630578810634887e-05,0.1005985967151834,0.88932538825776863,0.98992398497295198,False,4.0752769675823331e-16,3.3911368493234139e-26,0.98992398497295198
BTC-USD,garch11_t,1297,ok|flag=0 nu=2.72873,False,21,20,6.6441399178246213e-05,0.097117060641436437,0.89645165851665831,2.2236298861131188e-13,0.99356871915809475,True,6.6441399177862012e-05,0.097117060641436201,0.8964516585166572,0.99356871915809342,False,2.1842276556025461e-16,1.83416127759902e-24,0.99356871915809342
BTC-USD,garch11_t,1318,ok|flag=0 nu=2.88984,False,21,20,5.0437615103775889e-05,0.086112635602187515,0.90664480553330629,7.2339532251168967e-15,0.9927574411354938,True,5.0437615103768049e-05,0.086112635602187501,0.9066448055333064,0.99275744113549402,False,3.8073438026931034e-16,5.2310496108352737e-22,0.99275744113549402
BTC-USD,garch11_t,1339,ok|flag=0 nu=2.83114,False,21,20,5.2874163757790913e-05,0.083164839358624398,0.9103486756965089,1.2138673403809694e-15,0.9935135150551333,True,5.2874163757792736e-05,0.083164839358624496,0.91034867569650835,0.99351351505513297,False,6.0693367019048468e-16,4.0168201282291501e-21,0.99351351505513297
BTC-USD,garch11_t,1360,ok|flag=0 nu=2.86471,False,21,20,5.4875895375639184e-05,0.088344395099076989,0.90623963607345948,1.1923266426580608e-14,0.99458403117253646,True,5.4875895375616443e-05,0.0883443950990771,0.90623963607345959,0.9945840311725368,False,5.9551345889551561e-16,4.183371825200739e-22,0.9945840311725368
BTC-USD,garch11_t,1381,ok|flag=0 nu=2.91752,False,21,20,5.0054754020770293e-05,0.097832093100114759,0.9021679068998858,5.1849120457174492e-16,1.0000000000000004,True,5.0054754020772332e-05,0.097832093100114606,0.90216790689988535,1,False,5.1849120457174492e-16,4.402373359883604e-23,1
BTC-USD,garch11_t,1402,ok|flag=0 nu=2.95693,False,21,20,3.9922470032929057e-05,0.091250763474254426,0.90874923652574613,1.2676339089139542e-15,1.0000000000000004,True,3.9922470032928949e-05,0.091250763474253996,0.90874923652574602,1,False,5.9295480910816151e-16,1.6673604666394888e-21,1
BTC-USD,garch11_t,1423,ok|flag=0 nu=2.94982,False,21,20,4.4121114174601116e-05,0.10047933784846896,0.89952066215153059,2.9057046165844642e-13,0.99999999999999956,True,4.4121114174254232e-05,0.10047933784846901,0.89952066215153104,1,False,4.532522003616819e-16,1.0129122169557328e-23,1
BTC-USD,garch11_t,1444,ok|flag=0 nu=3.71084,False,21,20,1.2431914090024983e-05,0.070517239242823715,0.92948276075717884,1.0756795899417646e-13,1.0000000000000027,True,1.2431914089891707e-05,0.070517239242823701,0.92948276075717617,1,False,6.2258198314908194e-16,1.3202909061595429e-16,1
BTC-USD,garch11_t,1465,ok|flag=0 nu=3.81934,False,21,20,1.1614458161909037e-05,0.068641660811016081,0.93135833918898236,3.2459322232457152e-15,0.99999999999999845,True,1.1614458161910475e-05,0.0686416608110164,0.93135833918898236,0.99999999999999878,False,6.5206294167041312e-16,3.6174601098089444e-16,0.99999999999999878
BTC-USD,garch11_t,1486,ok|flag=0 nu=3.88421,False,21,20,1.1188950917652773e-05,0.067095186341240565,0.93290481365875944,7.5883387788507993e-16,1,True,1.118895091765308e-05,0.067095186341240398,0.93290481365875955,1.0000000000000002,False,7.6032569186073006e-16,8.2921469575928243e-16,1.0000000000000002
BTC-USD,garch11_t,1507,ok|flag=0 nu=3.97377,False,21,20,9.1031177976525027e-06,0.057148220267753236,0.94285177973588552,2.6603236311875349e-13,1.0000000000036389,True,9.1031177973984843e-06,0.0571482202677593,0.94285177973585244,1.0000000000036118,False,6.5979409612918202e-14,1.6661442254486788e-13,1.0000000000036118
BTC-USD,garch11_t,1528,ok|flag=0 nu=4.09213,False,21,20,7.9179697434917766e-06,0.040605369832642513,0.95939463020592974,1.1003960558342485e-10,1.0000000000385723,True,7.9179697904299092e-06,0.040605369829455902,0.95939463017054405,1,False,1.0891615532215447e-10,9.9687722281167086e-10,1
BTC-USD,garch11_t,1549,ok|flag=0 nu=3.95451,False,21,20,1.0936882596685825e-05,0.047336248202731634,0.952663751801751,1.8785330611269038e-12,1.0000000000044826,True,1.0936882601263249e-05,0.047336248202682299,0.95266375179731055,0.99999999999999278,False,2.0036263525819069e-12,2.9499894465932982e-11,0.99999999999999278
BTC-USD,garch11_t,1570,ok|flag=0 nu=4.15361,False,21,20,1.3959138908814752e-05,0.049362016602528924,0.94907912173717679,2.4501386160981544e-12,0.99844113833970571,True,1.3959138907759176e-05,0.049362016602880303,0.94907912173777165,0.99844113834065196,False,3.1259780270034723e-12,4.4792969036056738e-12,0.99844113834065196
BTC-USD,garch11_t,1591,ok|flag=0 nu=4.3842,False,21,20,1.4608431596258112e-05,0.039129914863954451,0.95686367108154857,3.6145721287877605e-11,0.99599358594550302,True,1.4608431560950124e-05,0.039129914862735198,0.95686367110345938,0.99599358596619481,False,2.499424290738626e-11,2.6609278370047248e-10,0.99599358596619481
BTC-USD,garch11_t,1612,ok|flag=0 nu=4.98114,False,21,20,1.4040013515685039e-05,0.041749897052611451,0.95322492728876163,6.6312329796645409e-12,0.99497482434137308,True,1.4040013518246069e-05,0.041749897052559402,0.95322492728685559,0.9949748243394152,False,7.084803161197048e-12,3.9600020929601867e-11,0.9949748243394152
BTC-USD,garch11_t,1633,ok|flag=0 nu=4.2581,False,21,20,2.3771333587560691e-05,0.038933447188243875,0.9532405372755548,1.0623894121498935e-12,0.99217398446379867,True,2.3771333582782165e-05,0.038933447188336703,0.95324053727816604,0.99217398446650285,False,1.8477023639202813e-12,3.9925593892766717e-11,0.99217398446650285
BTC-USD,garch11_t,1654,ok|flag=0 nu=4.74561,False,21,20,4.2748314147076128e-05,0.031452803005700636,0.94607834045526362,1.7340276890908382e-13,0.97753114346096426,True,4.2748314146064886e-05,0.031452803005710697,0.94607834045578121,0.97753114346149195,False,1.82089830201211e-13,9.1949616746056848e-13,0.97753114346149195
BTC-USD,garch11_t,1675,ok|flag=0 nu=4.97329,False,21,20,5.1937261533547343e-05,0.03093087913670356,0.94081032724167168,8.6475777691456246e-15,0.97174120637837524,True,5.193726153351689e-05,0.030930879136704899,0.94081032724169045,0.97174120637839523,False,6.2012176582527226e-15,5.6368697099796892e-14,0.97174120637839523
BTC-USD,garch11_t,1696,ok|flag=0 nu=4.8063,False,21,20,3.8443265133424382e-05,0.034504403604744605,0.94384572685821189,1.8198683179006882e-13,0.97835013046295649,True,3.8443265133088238e-05,0.034504403604747803,0.94384572685846835,0.97835013046321639,False,1.4793524164223889e-13,2.8216748974822916e-13,0.97835013046321639
BTC-USD,garch11_t,1717,ok|flag=0 nu=5.20554,False,21,20,2.3117264662099302e-06,0.0091870586071506333,0.98735650689204024,0.0017390481912453507,0.99654356549919088,False,1.5995102384187838e-11,0.0091639645852259009,0.98931987635604657,0.9984838409412724,False,0.0016385965857031578,0.0046597999509924238,0.9984838409412724
BTC-USD,garch11_t,1738,ok|flag=0 nu=4.7977,False,21,20,3.6065450018609292e-05,0.025838134986192918,0.95150073253823519,1.5323435028498822e-11,0.97733886752442811,True,3.6065450049145487e-05,0.025838134985635801,0.95150073251755718,0.97733886750319277,False,1.5518509420078104e-11,1.6016347519207145e-11,0.97733886750319277
BTC-USD,garch11_t,1759,ok|flag=0 nu=4.70094,False,21,20,4.2039919288596887e-05,0.026302454149596088,0.94714700874430569,1.8463558816724474e-12,0.97344946289390177,True,4.2039919288005225e-05,0.0263024541495957,0.94714700874460278,0.97344946289419843,False,1.8663415838685523e-12,1.616947847292083e-12,0.97344946289419843
BTC-USD,garch11_t,1780,ok|flag=0 nu=4.63268,False,21,20,6.967132227664804e-05,0.032854285844241105,0.92328084916235997,5.2301606670813995e-14,0.95613513500660108,True,6.9671322276577784e-05,0.032854285844241,0.92328084916235997,0.95613513500660074,False,4.7515359768677838e-16,4.6442300537949954e-18,0.95613513500660074
BTC-USD,garch11_t,1801,ok|flag=0 nu=4.50888,False,21,20,7.0479707446046745e-05,0.033006542368623437,0.9230172667009402,9.327997394451449e-14,0.95602380906956363,True,7.0479707445935397e-05,0.033006542368623298,0.9230172667009402,0.95602380906956363,False,5.2387998831855427e-16,4.026360727045612e-18,0.95602380906956363
BTC-USD,garch11_t,1822,ok|flag=0 nu=4.25624,False,21,20,6.9097393670509161e-05,0.036484550474855326,0.92173842443353604,1.7253976941610435e-15,0.95822297490839137,True,6.9097393670508727e-05,0.0364845504748555,0.92173842443353637,0.95822297490839203,False,3.2073067888205119e-16,2.0130109288540694e-18,0.95822297490839203
BTC-USD,garch11_t,1843,ok|flag=0 nu=4.31826,False,21,20,0.00018280356227140868,0.00025184173961134704,0.83823784203595897,0.019398255227968158,0.83848968377557032,False,7.2535694682889959e-06,0,0.99310922999549056,0.99310922999549056,False,0.022791506073376044,0.031514406278317995,0.99310922999549056
BTC-USD,garch11_t,1864,ok|flag=0 nu=4.31926,False,21,20,0.00011939918199925148,8.7619599760113687e-06,0.90149693786454277,4.6167749047249892e-05,0.90150569982451878,False,2.3449894134470188e-05,7.7278762181825769e-21,0.98065346953906285,0.98065346953906285,False,5.5231932300297794e-05,5.7251200818013583e-05,0.98065346953906285
BTC-USD,garch11_t,1885,ok|flag=0 nu=3.49975,False,21,20,0.00019694124838557999,-0.016983993528173036,0.72285151639979195,0.49323584942350746,0.70586752287161891,False,1.284361798466104e-11,7.3341936968063297e-19,0.99791864058766278,0.99791864058766278,False,0.52848137286323305,0.35283165792405624,0.99791864058766278
BTC-USD,garch11_t,1906,ok|flag=0 nu=3.93295,False,21,20,3.7256293969140558e-05,0.029105443352397731,0.94193020370256098,5.9666851304987464e-14,0.97103564705495871,True,3.7256293969172834e-05,0.029105443352398001,0.94193020370254121,0.97103564705493917,False,7.8264311451996548e-14,1.0217897703684989e-13,0.97103564705493917
BTC-USD,garch11_t,1927,ok|flag=0 nu=3.37266,False,21,20,0.00021534754152725886,0.045530052211018024,0.80880999161507128,9.1665884778802337e-16,0.8543400438260893,True,0.00021534754152719999,0.045530052211017899,0.80880999161506983,0.85434004382608786,False,5.1434867530542693e-14,8.3801893448479237e-47,0.85434004382608786
BTC-USD,garch11_t,1948,ok|flag=0 nu=3.25059,False,21,20,0.0001424160955648338,0.056071703177017151,0.8478974471980425,8.7813260218117157e-16,0.90396915037505965,True,0.0001424160955648,0.056071703177017401,0.84789744719804372,0.9039691503750612,False,3.3935231793159609e-14,1.4847859821100507e-36,0.9039691503750612
BTC-USD,garch11_t,1969,ok|flag=0 nu=2.96349,False,21,20,2.8435701003915907e-05,0.091956325118891624,0.9080436748811086,3.3624557599135625e-13,1.0000000000000002,True,2.8435701003778291e-05,0.091956325118891402,0.9080436748811086,1,False,3.4490299616786942e-16,1.1307557661097892e-21,1
BTC-USD,garch11_t,1990,ok|flag=0 nu=2.91168,False,21,20,5.613347604013844e-05,0.098498908856199163,0.88704270920000217,1.1753072777799885e-12,0.98554161805620133,True,5.6133476039187805e-05,0.098498908856199205,0.88704270920000239,0.98554161805620155,False,5.0240164979495892e-16,9.3813500339817883e-27,0.98554161805620155
BTC-USD,garch11_t,2011,ok|flag=0 nu=2.74783,False,21,20,0.00010961176452034854,0.11475541979744042,0.85125910028171803,2.4120192556635413e-14,0.96601452007915845,True,0.0001096117645203,0.11475541979744031,0.85125910028171792,0.96601452007915845,False,2.3193204311225573e-14,1.0737022395165508e-35,0.96601452007915845
BTC-USD,garch11_t,2032,ok|flag=0 nu=2.63259,False,21,20,0.00012076701778251341,0.12224824387047051,0.85008279995359437,5.1790733044087489e-16,0.97233104382406488,True,0.0001207670177825,0.12224824387047049,0.85008279995359426,0.97233104382406477,False,9.8403069026663693e-15,5.3779221486392061e-36,0.97233104382406477
BTC-USD,garch11_t,2053,ok|flag=0 nu=2.74885,False,21,20,0.0001069444140230001,0.12597836887811731,0.84098363959641165,2.4618275267680869e-14,0.96696200847452896,True,0.0001069444140229,0.1259783688781175,0.84098363959641187,0.9669620084745294,False,9.4132422780196844e-14,2.4761307950550023e-38,0.9669620084745294
BTC-USD,garch11_t,2074,ok|flag=0 nu=2.7288,False,21,20,0.00014709059029548963,0.15927316389802693,0.79297919282877738,2.4607603530487815e-15,0.95225235672680431,True,0.00014709059029539999,0.1592731638980269,0.79297919282877771,0.95225235672680464,False,9.8922566192561012e-14,4.2746046614441064e-51,0.95225235672680464
BTC-USD,garch11_t,2095,ok|flag=0 nu=2.7459,False,21,20,0.00012491191578288787,0.15680648386876406,0.80393166085747425,2.3294541181401741e-15,0.96073814472623831,True,0.0001249119157828,0.1568064838687637,0.80393166085747392,0.96073814472623764,False,1.1692797911844518e-13,4.0697366372837654e-48,0.96073814472623764
BTC-USD,garch11_t,2116,ok|flag=0 nu=2.6935,False,21,20,9.7128446988854549e-05,0.16879716887926388,0.82064487936173047,1.7737148856459592e-13,0.98944204824099435,True,9.7128446988696405e-05,0.1687971688792638,0.82064487936172992,0.9894420482409938,False,6.8833243507452117e-16,1.1957268217981026e-43,0.9894420482409938
BTC-USD,garch11_t,2137,ok|flag=0 nu=2.77046,False,21,20,0.00010282686578436833,0.17163993103217678,0.80872659814048675,2.0459035946630189e-15,0.98036652917266354,True,0.0001028268657843,0.17163993103217659,0.80872659814048686,0.98036652917266365,False,1.0519354315892356e-13,7.9590898952659804e-47,0.98036652917266365
BTC-USD,garch11_t,2158,ok|flag=0 nu=2.85448,False,21,20,0.00010509528854491031,0.17525536679422471,0.78486836729915899,5.7789160705928818e-16,0.9601237340933837,True,0.00010509528854490001,0.17525536679422479,0.7848683672991591,0.96012373409338403,False,1.9473978724699444e-14,2.5027241881272372e-53,0.96012373409338403
BTC-USD,garch11_t,2179,ok|flag=0 nu=2.71295,False,21,20,7.3936390479894938e-05,0.18949411679496908,0.81050588320503136,3.2391098631301833e-13,1.0000000000000004,True,7.393639047975475e-05,0.1894941167949688,0.81050588320503125,1,False,4.5583724832439833e-16,2.3882830748078474e-46,1
BTC-USD,garch11_t,2200,ok|flag=0 nu=2.69734,False,21,20,5.8228938659042195e-05,0.17502622303271098,0.82497377696728424,8.5104989998756777e-14,0.99999999999999523,True,5.822893865899962e-05,0.17502622303271129,0.82497377696728424,0.99999999999999556,False,4.9488724766409544e-16,1.659862192467705e-42,0.99999999999999556
BTC-USD,garch11_t,2221,ok|flag=0 nu=2.64053,False,21,20,2.5428743179574553e-05,0.10028589027422907,0.8997141097257606,9.2770228663005115e-16,0.99999999999998967,True,2.542874317957456e-05,0.10028589027422891,0.89971410972576005,0.99999999999998901,False,4.4326823274937853e-16,1.1278872000972298e-23,0.99999999999998901
BTC-USD,garch11_t,2242,ok|flag=0 nu=2.5484,False,21,20,3.5415084059988671e-05,0.11286736233897365,0.8871326376611075,1.563915326484359e-15,1.0000000000000813,True,3.5415084059988441e-05,0.1128673623389734,0.88713263766110728,1.0000000000000806,False,4.4238414144827471e-16,9.8691245395560048e-27,1.0000000000000806
BTC-USD,garch11_t,2263,ok|flag=0 nu=2.32098,False,21,20,0.00067696670196930743,0.75413764499441016,0.24586235500558906,9.7949563069000046e-13,0.99999999999999922,True,0.00067696670196839995,0.75413764499441061,0.24586235500558931,1,False,2.3492553061091544e-14,2.2182914692381369e-305,1
