asset,loss,model_a,model_b,origins,n_used,dropped
BTC-USD,log_score,chronos,naive,2791,2791,0
BTC-USD,log_score,chronos,patchtst,2791,2791,0
BTC-USD,log_score,chronos,timesfm,2791,2791,0
BTC-USD,log_score,ewma,autoarima,2791,2791,0
BTC-USD,log_score,ewma,autoets,2791,2791,0
BTC-USD,log_score,ewma,chronos,2791,2791,0
BTC-USD,log_score,ewma,ewma,2791,2791,0
BTC-USD,log_score,ewma,garch11,2791,2791,0
BTC-USD,log_score,ewma,garch11_t,2791,2791,0
BTC-USD,log_score,ewma,gjr,2791,2791,0
BTC-USD,log_score,ewma,har,2791,2791,0
BTC-USD,log_score,ewma,lgbm,2791,2791,0
BTC-USD,log_score,ewma,moirai,2791,2791,0
BTC-USD,log_score,ewma,naive,2791,2791,0
BTC-USD,log_score,ewma,patchtst,2791,2791,0
BTC-USD,log_score,ewma,timesfm,2791,2791,0
BTC-USD,log_score,garch11,autoarima,2791,2791,0
BTC-USD,log_score,garch11,autoets,2791,2791,0
BTC-USD,log_score,garch11,chronos,2791,2791,0
BTC-USD,log_score,garch11,ewma,2791,2791,0
BTC-USD,log_score,garch11,garch11,2791,2791,0
BTC-USD,log_score,garch11,garch11_t,2791,2791,0
BTC-USD,log_score,garch11,gjr,2791,2791,0
BTC-USD,log_score,garch11,har,2791,2791,0
BTC-USD,log_score,garch11,lgbm,2791,2791,0
BTC-USD,log_score,garch11,moirai,2791,2791,0
BTC-USD,log_score,garch11,naive,2791,2791,0
BTC-USD,log_score,garch11,patchtst,2791,2791,0
BTC-USD,log_score,garch11,timesfm,2791,2791,0
BTC-USD,log_score,garch11_t,autoarima,2791,2791,0
BTC-USD,log_score,garch11_t,autoets,2791,2791,0
BTC-USD,log_score,garch11_t,chronos,2791,2791,0
BTC-USD,log_score,garch11_t,ewma,2791,2791,0
BTC-USD,log_score,garch11_t,garch11,2791,2791,0
BTC-USD,log_score,garch11_t,garch11_t,2791,2791,0
BTC-USD,log_score,garch11_t,gjr,2791,2791,0
BTC-USD,log_score,garch11_t,har,2791,2791,0
BTC-USD,log_score,garch11_t,lgbm,2791,2791,0
BTC-USD,log_score,garch11_t,moirai,2791,2791,0
BTC-USD,log_score,garch11_t,naive,2791,2791,0
BTC-USD,log_score,garch11_t,patchtst,2791,2791,0
BTC-USD,log_score,garch11_t,timesfm,2791,2791,0
BTC-USD,log_score,gjr,autoarima,2791,2791,0
BTC-USD,log_score,gjr,autoets,2791,2791,0
BTC-USD,log_score,gjr,chronos,2791,2791,0
BTC-USD,log_score,gjr,ewma,2791,2791,0
BTC-USD,log_score,gjr,garch11,2791,2791,0
BTC-USD,log_score,gjr,garch11_t,2791,2791,0
BTC-USD,log_score,gjr,gjr,2791,2791,0
BTC-USD,log_score,gjr,har,2791,2791,0
BTC-USD,log_score,gjr,lgbm,2791,2791,0
BTC-USD,log_score,gjr,moirai,2791,2791,0
BTC-USD,log_score,gjr,naive,2791,2791,0
BTC-USD,log_score,gjr,patchtst,2791,2791,0
BTC-USD,log_score,gjr,timesfm,2791,2791,0
BTC-USD,log_score,har,autoarima,2791,2791,0
BTC-USD,log_score,har,autoets,2791,2791,0
BTC-USD,log_score,har,chronos,2791,2791,0
BTC-USD,log_score,har,ewma,2791,2791,0
BTC-USD,log_score,har,garch11,2791,2791,0
BTC-USD,log_score,har,garch11_t,2791,2791,0
BTC-USD,log_score,har,gjr,2791,2791,0
BTC-USD,log_score,har,har,2791,2791,0
BTC-USD,log_score,har,lgbm,2791,2791,0
BTC-USD,log_score,har,moirai,2791,2791,0
BTC-USD,log_score,har,naive,2791,2791,0
BTC-USD,log_score,har,patchtst,2791,2791,0
BTC-USD,log_score,har,timesfm,2791,2791,0
BTC-USD,log_score,lgbm,autoarima,2791,2791,0
BTC-USD,log_score,lgbm,autoets,2791,2791,0
BTC-USD,log_score,lgbm,chronos,2791,2791,0
BTC-USD,log_score,lgbm,ewma,2791,2791,0
BTC-USD,log_score,lgbm,garch11,2791,2791,0
BTC-USD,log_score,lgbm,garch11_t,2791,2791,0
BTC-USD,log_score,lgbm,gjr,2791,2791,0
BTC-USD,log_score,lgbm,har,2791,2791,0
BTC-USD,log_score,lgbm,lgbm,2791,2791,0
BTC-USD,log_score,lgbm,moirai,2791,2791,0
BTC-USD,log_score,lgbm,naive,2791,2791,0
BTC-USD,log_score,lgbm,patchtst,2791,2791,0
BTC-USD,log_score,lgbm,timesfm,2791,2791,0
BTC-USD,log_score,moirai,autoarima,2791,2791,0
BTC-USD,log_score,moirai,autoets,2791,2791,0
BTC-USD,log_score,moirai,chronos,2791,2791,0
BTC-USD,log_score,moirai,ewma,2791,2791,0
BTC-USD,log_score,moirai,garch11,2791,2791,0
BTC-USD,log_score,moirai,garch11_t,2791,2791,0
BTC-USD,log_score,moirai,gjr,2791,2791,0
BTC-USD,log_score,moirai,har,2791,2791,0
BTC-USD,log_score,moirai,lgbm,2791,2791,0
BTC-USD,log_score,moirai,moirai,2791,2791,0
BTC-USD,log_score,moirai,naive,2791,2791,0
BTC-USD,log_score,moirai,patchtst,2791,2791,0
BTC-USD,log_score,moirai,timesfm,2791,2791,0
BTC-USD,log_score,naive,autoarima,2791,2791,0
BTC-USD,log_score,naive,autoets,2791,2791,0
BTC-USD,log_score,naive,chronos,2791,2791,0
BTC-USD,log_score,naive,ewma,2791,2791,0
BTC-USD,log_score,naive,garch11,2791,2791,0
BTC-USD,log_score,naive,garch11_t,2791,2791,0
BTC-USD,log_score,naive,gjr,2791,2791,0
BTC-USD,log_score,naive,har,2791,2791,0
BTC-USD,log_score,naive,lgbm,2791,2791,0
BTC-USD,log_score,naive,moirai,2791,2791,0
BTC-USD,log_score,naive,naive,2791,2791,0
BTC-USD,log_score,naive,patchtst,2791,2791,0
BTC-USD,log_score,naive,timesfm,2791,2791,0
BTC-USD,log_score,patchtst,autoarima,2791,2791,0
BTC-USD,log_score,patchtst,autoets,2791,2791,0
BTC-USD,log_score,patchtst,chronos,2791,2791,0
BTC-USD,log_score,patchtst,ewma,2791,2791,0
BTC-USD,log_score,patchtst,garch11,2791,2791,0
BTC-USD,log_score,patchtst,garch11_t,2791,2791,0
BTC-USD,log_score,patchtst,gjr,2791,2791,0
BTC-USD,log_score,patchtst,har,2791,2791,0
BTC-USD,log_score,patchtst,lgbm,2791,2791,0
BTC-USD,log_score,patchtst,moirai,2791,2791,0
BTC-USD,log_score,patchtst,naive,2791,2791,0
BTC-USD,log_score,patchtst,patchtst,2791,2791,0
BTC-USD,log_score,patchtst,timesfm,2791,2791,0
BTC-USD,log_score,timesfm,autoarima,2791,2791,0
BTC-USD,log_score,timesfm,autoets,2791,2791,0
BTC-USD,log_score,timesfm,chronos,2791,2791,0
BTC-USD,log_score,timesfm,ewma,2791,2791,0
BTC-USD,log_score,timesfm,garch11,2791,2791,0
BTC-USD,log_score,timesfm,garch11_t,2791,2791,0
BTC-USD,log_score,timesfm,gjr,2791,2791,0
BTC-USD,log_score,timesfm,har,2791,2791,0
BTC-USD,log_score,timesfm,lgbm,2791,2791,0
BTC-USD,log_score,timesfm,moirai,2791,2791,0
BTC-USD,log_score,timesfm,naive,2791,2791,0
BTC-USD,log_score,timesfm,patchtst,2791,2791,0
BTC-USD,log_score,timesfm,timesfm,2791,2791,0
BTC-USD,pinball_0p01,autoarima,autoarima,2791,2791,0
BTC-USD,pinball_0p01,autoarima,autoets,2791,2791,0
BTC-USD,pinball_0p01,autoarima,chronos,2791,2791,0
BTC-USD,pinball_0p01,autoarima,ewma,2791,2791,0
BTC-USD,pinball_0p01,autoarima,garch11,2791,2791,0
BTC-USD,pinball_0p01,autoarima,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,autoarima,gjr,2791,2791,0
BTC-USD,pinball_0p01,autoarima,har,2791,2791,0
BTC-USD,pinball_0p01,autoarima,lgbm,2791,2791,0
BTC-USD,pinball_0p01,autoarima,moirai,2791,2791,0
BTC-USD,pinball_0p01,autoarima,naive,2791,2791,0
BTC-USD,pinball_0p01,autoarima,patchtst,2791,2791,0
BTC-USD,pinball_0p01,autoarima,timesfm,2791,2791,0
BTC-USD,pinball_0p01,autoets,autoarima,2791,2791,0
BTC-USD,pinball_0p01,autoets,autoets,2791,2791,0
BTC-USD,pinball_0p01,autoets,chronos,2791,2791,0
BTC-USD,pinball_0p01,autoets,ewma,2791,2791,0
BTC-USD,pinball_0p01,autoets,garch11,2791,2791,0
BTC-USD,pinball_0p01,autoets,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,autoets,gjr,2791,2791,0
BTC-USD,pinball_0p01,autoets,har,2791,2791,0
BTC-USD,pinball_0p01,autoets,lgbm,2791,2791,0
BTC-USD,pinball_0p01,autoets,moirai,2791,2791,0
BTC-USD,pinball_0p01,autoets,naive,2791,2791,0
BTC-USD,pinball_0p01,autoets,patchtst,2791,2791,0
BTC-USD,pinball_0p01,autoets,timesfm,2791,2791,0
BTC-USD,pinball_0p01,chronos,autoarima,2791,2791,0
BTC-USD,pinball_0p01,chronos,autoets,2791,2791,0
BTC-USD,pinball_0p01,chronos,chronos,2791,2791,0
BTC-USD,pinball_0p01,chronos,ewma,2791,2791,0
BTC-USD,pinball_0p01,chronos,garch11,2791,2791,0
BTC-USD,pinball_0p01,chronos,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,chronos,gjr,2791,2791,0
BTC-USD,pinball_0p01,chronos,har,2791,2791,0
BTC-USD,pinball_0p01,chronos,lgbm,2791,2791,0
BTC-USD,pinball_0p01,chronos,moirai,2791,2791,0
BTC-USD,pinball_0p01,chronos,naive,2791,2791,0
BTC-USD,pinball_0p01,chronos,patchtst,2791,2791,0
BTC-USD,pinball_0p01,chronos,timesfm,2791,2791,0
BTC-USD,pinball_0p01,ewma,autoarima,2791,2791,0
BTC-USD,pinball_0p01,ewma,autoets,2791,2791,0
BTC-USD,pinball_0p01,ewma,chronos,2791,2791,0
BTC-USD,pinball_0p01,ewma,ewma,2791,2791,0
BTC-USD,pinball_0p01,ewma,garch11,2791,2791,0
BTC-USD,pinball_0p01,ewma,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,ewma,gjr,2791,2791,0
BTC-USD,pinball_0p01,ewma,har,2791,2791,0
BTC-USD,pinball_0p01,ewma,lgbm,2791,2791,0
BTC-USD,pinball_0p01,ewma,moirai,2791,2791,0
BTC-USD,pinball_0p01,ewma,naive,2791,2791,0
BTC-USD,pinball_0p01,ewma,patchtst,2791,2791,0
BTC-USD,pinball_0p01,ewma,timesfm,2791,2791,0
BTC-USD,pinball_0p01,garch11,autoarima,2791,2791,0
BTC-USD,pinball_0p01,garch11,autoets,2791,2791,0
BTC-USD,pinball_0p01,garch11,chronos,2791,2791,0
BTC-USD,pinball_0p01,garch11,ewma,2791,2791,0
BTC-USD,pinball_0p01,garch11,garch11,2791,2791,0
BTC-USD,pinball_0p01,garch11,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,garch11,gjr,2791,2791,0
BTC-USD,pinball_0p01,garch11,har,2791,2791,0
BTC-USD,pinball_0p01,garch11,lgbm,2791,2791,0
BTC-USD,pinball_0p01,garch11,moirai,2791,2791,0
BTC-USD,pinball_0p01,garch11,naive,2791,2791,0
BTC-USD,pinball_0p01,garch11,patchtst,2791,2791,0
BTC-USD,pinball_0p01,garch11,timesfm,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,autoarima,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,autoets,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,chronos,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,ewma,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,garch11,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,gjr,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,har,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,lgbm,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,moirai,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,naive,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,patchtst,2791,2791,0
BTC-USD,pinball_0p01,garch11_t,timesfm,2791,2791,0
BTC-USD,pinball_0p01,gjr,autoarima,2791,2791,0
BTC-USD,pinball_0p01,gjr,autoets,2791,2791,0
BTC-USD,pinball_0p01,gjr,chronos,2791,2791,0
BTC-USD,pinball_0p01,gjr,ewma,2791,2791,0
BTC-USD,pinball_0p01,gjr,garch11,2791,2791,0
BTC-USD,pinball_0p01,gjr,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,gjr,gjr,2791,2791,0
BTC-USD,pinball_0p01,gjr,har,2791,2791,0
BTC-USD,pinball_0p01,gjr,lgbm,2791,2791,0
BTC-USD,pinball_0p01,gjr,moirai,2791,2791,0
BTC-USD,pinball_0p01,gjr,naive,2791,2791,0
BTC-USD,pinball_0p01,gjr,patchtst,2791,2791,0
BTC-USD,pinball_0p01,gjr,timesfm,2791,2791,0
BTC-USD,pinball_0p01,har,autoarima,2791,2791,0
BTC-USD,pinball_0p01,har,autoets,2791,2791,0
BTC-USD,pinball_0p01,har,chronos,2791,2791,0
BTC-USD,pinball_0p01,har,ewma,2791,2791,0
BTC-USD,pinball_0p01,har,garch11,2791,2791,0
BTC-USD,pinball_0p01,har,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,har,gjr,2791,2791,0
BTC-USD,pinball_0p01,har,har,2791,2791,0
BTC-USD,pinball_0p01,har,lgbm,2791,2791,0
BTC-USD,pinball_0p01,har,moirai,2791,2791,0
BTC-USD,pinball_0p01,har,naive,2791,2791,0
BTC-USD,pinball_0p01,har,patchtst,2791,2791,0
BTC-USD,pinball_0p01,har,timesfm,2791,2791,0
BTC-USD,pinball_0p01,lgbm,autoarima,2791,2791,0
BTC-USD,pinball_0p01,lgbm,autoets,2791,2791,0
BTC-USD,pinball_0p01,lgbm,chronos,2791,2791,0
BTC-USD,pinball_0p01,lgbm,ewma,2791,2791,0
BTC-USD,pinball_0p01,lgbm,garch11,2791,2791,0
BTC-USD,pinball_0p01,lgbm,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,lgbm,gjr,2791,2791,0
BTC-USD,pinball_0p01,lgbm,har,2791,2791,0
BTC-USD,pinball_0p01,lgbm,lgbm,2791,2791,0
BTC-USD,pinball_0p01,lgbm,moirai,2791,2791,0
BTC-USD,pinball_0p01,lgbm,naive,2791,2791,0
BTC-USD,pinball_0p01,lgbm,patchtst,2791,2791,0
BTC-USD,pinball_0p01,lgbm,timesfm,2791,2791,0
BTC-USD,pinball_0p01,moirai,autoarima,2791,2791,0
BTC-USD,pinball_0p01,moirai,autoets,2791,2791,0
BTC-USD,pinball_0p01,moirai,chronos,2791,2791,0
BTC-USD,pinball_0p01,moirai,ewma,2791,2791,0
BTC-USD,pinball_0p01,moirai,garch11,2791,2791,0
BTC-USD,pinball_0p01,moirai,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,moirai,gjr,2791,2791,0
BTC-USD,pinball_0p01,moirai,har,2791,2791,0
BTC-USD,pinball_0p01,moirai,lgbm,2791,2791,0
BTC-USD,pinball_0p01,moirai,moirai,2791,2791,0
BTC-USD,pinball_0p01,moirai,naive,2791,2791,0
BTC-USD,pinball_0p01,moirai,patchtst,2791,2791,0
BTC-USD,pinball_0p01,moirai,timesfm,2791,2791,0
BTC-USD,pinball_0p01,naive,autoarima,2791,2791,0
BTC-USD,pinball_0p01,naive,autoets,2791,2791,0
BTC-USD,pinball_0p01,naive,chronos,2791,2791,0
BTC-USD,pinball_0p01,naive,ewma,2791,2791,0
BTC-USD,pinball_0p01,naive,garch11,2791,2791,0
BTC-USD,pinball_0p01,naive,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,naive,gjr,2791,2791,0
BTC-USD,pinball_0p01,naive,har,2791,2791,0
BTC-USD,pinball_0p01,naive,lgbm,2791,2791,0
BTC-USD,pinball_0p01,naive,moirai,2791,2791,0
BTC-USD,pinball_0p01,naive,naive,2791,2791,0
BTC-USD,pinball_0p01,naive,patchtst,2791,2791,0
BTC-USD,pinball_0p01,naive,timesfm,2791,2791,0
BTC-USD,pinball_0p01,patchtst,autoarima,2791,2791,0
BTC-USD,pinball_0p01,patchtst,autoets,2791,2791,0
BTC-USD,pinball_0p01,patchtst,chronos,2791,2791,0
BTC-USD,pinball_0p01,patchtst,ewma,2791,2791,0
BTC-USD,pinball_0p01,patchtst,garch11,2791,2791,0
BTC-USD,pinball_0p01,patchtst,garch11_t,2791,2791,0
BTC-USD,pinball_0p01,patchtst,gjr,2791,2791,0
BTC-USD,pinball_0p01,patchtst,har,2791,2791,0
BTC-USD,pinball_0p01,patchtst,lgbm,2791,2791,0
BTC-USD,pinball_0p01,patchtst,moirai,2791,2791,0
BTC-USD,pinball_0p01,patchtst,naive,2791,2791,0
