loss,statistic,block,model,assets,survives_0.1,survives_0.25
crps,range,crypto,lgbm,2,0,0
crps,range,crypto,moirai,2,2,2
crps,range,crypto,naive,2,0,0
crps,range,crypto,patchtst,2,0,0
crps,range,crypto,timesfm,2,1,0
crps,semi_quadratic,crypto,autoarima,2,0,0
crps,semi_quadratic,crypto,autoets,2,0,0
crps,semi_quadratic,crypto,chronos,2,0,0
crps,semi_quadratic,crypto,ewma,2,0,0
crps,semi_quadratic,crypto,garch11,2,0,0
crps,semi_quadratic,crypto,garch11_t,2,0,0
crps,semi_quadratic,crypto,gjr,2,0,0
crps,semi_quadratic,crypto,har,2,0,0
crps,semi_quadratic,crypto,lgbm,2,0,0
crps,semi_quadratic,crypto,moirai,2,2,2
crps,semi_quadratic,crypto,naive,2,0,0
crps,semi_quadratic,crypto,patchtst,2,0,0
crps,semi_quadratic,crypto,timesfm,2,1,0
log_score,range,all,autoarima,11,5,5
log_score,range,all,autoets,11,7,6
log_score,range,all,chronos,11,3,1
log_score,range,all,ewma,11,1,1
log_score,range,all,garch11,11,0,0
log_score,range,all,garch11_t,11,11,11
log_score,range,all,gjr,11,8,8
log_score,range,all,har,11,7,6
log_score,range,all,lgbm,11,0,0
log_score,range,all,moirai,11,8,5
log_score,range,all,naive,11,0,0
log_score,range,all,patchtst,11,0,0
log_score,range,all,timesfm,11,4,2
log_score,semi_quadratic,all,autoarima,11,6,5
log_score,semi_quadratic,all,autoets,11,7,6
log_score,semi_quadratic,all,chronos,11,3,1
log_score,semi_quadratic,all,ewma,11,1,1
log_score,semi_quadratic,all,garch11,11,0,0
log_score,semi_quadratic,all,garch11_t,11,11,10
log_score,semi_quadratic,all,gjr,11,8,6
log_score,semi_quadratic,all,har,11,7,6
log_score,semi_quadratic,all,lgbm,11,0,0
log_score,semi_quadratic,all,moirai,11,8,5
log_score,semi_quadratic,all,naive,11,0,0
log_score,semi_quadratic,all,patchtst,11,0,0
log_score,semi_quadratic,all,timesfm,11,4,2
log_score,range,equity,autoarima,9,5,5
log_score,range,equity,autoets,9,7,6
log_score,range,equity,chronos,9,3,1
log_score,range,equity,ewma,9,1,1
log_score,range,equity,garch11,9,0,0
log_score,range,equity,garch11_t,9,9,9
log_score,range,equity,gjr,9,8,8
log_score,range,equity,har,9,7,6
log_score,range,equity,lgbm,9,0,0
log_score,range,equity,moirai,9,7,4
log_score,range,equity,naive,9,0,0
log_score,range,equity,patchtst,9,0,0
log_score,range,equity,timesfm,9,3,1
log_score,semi_quadratic,equity,autoarima,9,6,5
log_score,semi_quadratic,equity,autoets,9,7,6
log_score,semi_quadratic,equity,chronos,9,3,1
log_score,semi_quadratic,equity,ewma,9,1,1
log_score,semi_quadratic,equity,garch11,9,0,0
log_score,semi_quadratic,equity,garch11_t,9,9,8
log_score,semi_quadratic,equity,gjr,9,8,6
log_score,semi_quadratic,equity,har,9,7,6
log_score,semi_quadratic,equity,lgbm,9,0,0
log_score,semi_quadratic,equity,moirai,9,7,4
log_score,semi_quadratic,equity,naive,9,0,0
log_score,semi_quadratic,equity,patchtst,9,0,0
log_score,semi_quadratic,equity,timesfm,9,3,1
log_score,range,crypto,autoarima,2,0,0
log_score,range,crypto,autoets,2,0,0
log_score,range,crypto,chronos,2,0,0
log_score,range,crypto,ewma,2,0,0
log_score,range,crypto,garch11,2,0,0
log_score,range,crypto,garch11_t,2,2,2
log_score,range,crypto,gjr,2,0,0
log_score,range,crypto,har,2,0,0
log_score,range,crypto,lgbm,2,0,0
log_score,range,crypto,moirai,2,1,1
log_score,range,crypto,naive,2,0,0
log_score,range,crypto,patchtst,2,0,0
log_score,range,crypto,timesfm,2,1,1
log_score,semi_quadratic,crypto,autoarima,2,0,0
log_score,semi_quadratic,crypto,autoets,2,0,0
log_score,semi_quadratic,crypto,chronos,2,0,0
log_score,semi_quadratic,crypto,ewma,2,0,0
log_score,semi_quadratic,crypto,garch11,2,0,0
log_score,semi_quadratic,crypto,garch11_t,2,2,2
log_score,semi_quadratic,crypto,gjr,2,0,0
log_score,semi_quadratic,crypto,har,2,0,0
log_score,semi_quadratic,crypto,lgbm,2,0,0
log_score,semi_quadratic,crypto,moirai,2,1,1
log_score,semi_quadratic,crypto,naive,2,0,0
log_score,semi_quadratic,crypto,patchtst,2,0,0
log_score,semi_quadratic,crypto,timesfm,2,1,1
pinball_0p01,range,all,autoarima,11,9,7
pinball_0p01,range,all,autoets,11,9,8
pinball_0p01,range,all,chronos,11,9,6
pinball_0p01,range,all,ewma,11,8,3
pinball_0p01,range,all,garch11,11,8,2
pinball_0p01,range,all,garch11_t,11,11,9
pinball_0p01,range,all,gjr,11,11,11
pinball_0p01,range,all,har,11,10,7
pinball_0p01,range,all,lgbm,11,8,4
pinball_0p01,range,all,moirai,11,10,8
pinball_0p01,range,all,naive,11,7,2
pinball_0p01,range,all,patchtst,11,1,0
pinball_0p01,range,all,timesfm,11,10,7
pinball_0p01,semi_quadratic,all,autoarima,11,7,7
pinball_0p01,semi_quadratic,all,autoets,11,8,7
pinball_0p01,semi_quadratic,all,chronos,11,7,4
pinball_0p01,semi_quadratic,all,ewma,11,5,2
pinball_0p01,semi_quadratic,all,garch11,11,5,2
pinball_0p01,semi_quadratic,all,garch11_t,11,11,9
pinball_0p01,semi_quadratic,all,gjr,11,11,11
pinball_0p01,semi_quadratic,all,har,11,9,6
pinball_0p01,semi_quadratic,all,lgbm,11,3,2
pinball_0p01,semi_quadratic,all,moirai,11,8,5
pinball_0p01,semi_quadratic,all,naive,11,3,2
pinball_0p01,semi_quadratic,all,patchtst,11,0,0
pinball_0p01,semi_quadratic,all,timesfm,11,7,6
pinball_0p01,range,equity,autoarima,9,8,6
pinball_0p01,range,equity,autoets,9,8,7
pinball_0p01,range,equity,chronos,9,7,5
pinball_0p01,range,equity,ewma,9,7,2
pinball_0p01,range,equity,garch11,9,6,1
pinball_0p01,range,equity,garch11_t,9,9,8
pinball_0p01,range,equity,gjr,9,9,9
pinball_0p01,range,equity,har,9,8,6
pinball_0p01,range,equity,lgbm,9,7,3
pinball_0p01,range,equity,moirai,9,8,6
pinball_0p01,range,equity,naive,9,5,0
pinball_0p01,range,equity,patchtst,9,0,0
pinball_0p01,range,equity,timesfm,9,8,5
pinball_0p01,semi_quadratic,equity,autoarima,9,6,6
pinball_0p01,semi_quadratic,equity,autoets,9,7,6
pinball_0p01,semi_quadratic,equity,chronos,9,5,3
pinball_0p01,semi_quadratic,equity,ewma,9,4,2
pinball_0p01,semi_quadratic,equity,garch11,9,3,1
pinball_0p01,semi_quadratic,equity,garch11_t,9,9,8
pinball_0p01,semi_quadratic,equity,gjr,9,9,9
pinball_0p01,semi_quadratic,equity,har,9,7,5
pinball_0p01,semi_quadratic,equity,lgbm,9,2,1
pinball_0p01,semi_quadratic,equity,moirai,9,6,3
pinball_0p01,semi_quadratic,equity,naive,9,1,0
pinball_0p01,semi_quadratic,equity,patchtst,9,0,0
pinball_0p01,semi_quadratic,equity,timesfm,9,5,4
pinball_0p01,range,crypto,autoarima,2,1,1
pinball_0p01,range,crypto,autoets,2,1,1
pinball_0p01,range,crypto,chronos,2,2,1
pinball_0p01,range,crypto,ewma,2,1,1
pinball_0p01,range,crypto,garch11,2,2,1
pinball_0p01,range,crypto,garch11_t,2,2,1
pinball_0p01,range,crypto,gjr,2,2,2
pinball_0p01,range,crypto,har,2,2,1
pinball_0p01,range,crypto,lgbm,2,1,1
pinball_0p01,range,crypto,moirai,2,2,2
pinball_0p01,range,crypto,naive,2,2,2
pinball_0p01,range,crypto,patchtst,2,1,0
pinball_0p01,range,crypto,timesfm,2,2,2
pinball_0p01,semi_quadratic,crypto,autoarima,2,1,1
pinball_0p01,semi_quadratic,crypto,autoets,2,1,1
pinball_0p01,semi_quadratic,crypto,chronos,2,2,1
pinball_0p01,semi_quadratic,crypto,ewma,2,1,0
pinball_0p01,semi_quadratic,crypto,garch11,2,2,1
pinball_0p01,semi_quadratic,crypto,garch11_t,2,2,1
pinball_0p01,semi_quadratic,crypto,gjr,2,2,2
pinball_0p01,semi_quadratic,crypto,har,2,2,1
pinball_0p01,semi_quadratic,crypto,lgbm,2,1,1
pinball_0p01,semi_quadratic,crypto,moirai,2,2,2
pinball_0p01,semi_quadratic,crypto,naive,2,2,2
pinball_0p01,semi_quadratic,crypto,patchtst,2,0,0
pinball_0p01,semi_quadratic,crypto,timesfm,2,2,2
pinball_0p025,range,all,autoarima,11,8,5
pinball_0p025,range,all,autoets,11,8,6
pinball_0p025,range,all,chronos,11,10,3
pinball_0p025,range,all,ewma,11,8,2
pinball_0p025,range,all,garch11,11,6,2
pinball_0p025,range,all,garch11_t,11,7,4
pinball_0p025,range,all,gjr,11,10,8
pinball_0p025,range,all,har,11,8,5
pinball_0p025,range,all,lgbm,11,6,1
pinball_0p025,range,all,moirai,11,10,7
pinball_0p025,range,all,naive,11,1,0
pinball_0p025,range,all,patchtst,11,0,0
pinball_0p025,range,all,timesfm,11,10,5
pinball_0p025,semi_quadratic,all,autoarima,11,6,5
pinball_0p025,semi_quadratic,all,autoets,11,7,6
pinball_0p025,semi_quadratic,all,chronos,11,7,2
pinball_0p025,semi_quadratic,all,ewma,11,2,2
pinball_0p025,semi_quadratic,all,garch11,11,4,1
pinball_0p025,semi_quadratic,all,garch11_t,11,5,2
pinball_0p025,semi_quadratic,all,gjr,11,9,8
pinball_0p025,semi_quadratic,all,har,11,7,5
pinball_0p025,semi_quadratic,all,lgbm,11,1,1
pinball_0p025,semi_quadratic,all,moirai,11,8,6
pinball_0p025,semi_quadratic,all,naive,11,0,0
pinball_0p025,semi_quadratic,all,patchtst,11,0,0
pinball_0p025,semi_quadratic,all,timesfm,11,7,1
pinball_0p025,range,equity,autoarima,9,8,5
pinball_0p025,range,equity,autoets,9,8,6
pinball_0p025,range,equity,chronos,9,8,3
pinball_0p025,range,equity,ewma,9,8,2
pinball_0p025,range,equity,garch11,9,6,2
pinball_0p025,range,equity,garch11_t,9,7,4
pinball_0p025,range,equity,gjr,9,9,8
pinball_0p025,range,equity,har,9,8,5
pinball_0p025,range,equity,lgbm,9,6,1
pinball_0p025,range,equity,moirai,9,8,5
pinball_0p025,range,equity,naive,9,1,0
pinball_0p025,range,equity,patchtst,9,0,0
pinball_0p025,range,equity,timesfm,9,8,5
pinball_0p025,semi_quadratic,equity,autoarima,9,6,5
pinball_0p025,semi_quadratic,equity,autoets,9,7,6
pinball_0p025,semi_quadratic,equity,chronos,9,5,2
pinball_0p025,semi_quadratic,equity,ewma,9,2,2
pinball_0p025,semi_quadratic,equity,garch11,9,4,1
pinball_0p025,semi_quadratic,equity,garch11_t,9,5,2
pinball_0p025,semi_quadratic,equity,gjr,9,9,8
pinball_0p025,semi_quadratic,equity,har,9,7,5
pinball_0p025,semi_quadratic,equity,lgbm,9,1,1
pinball_0p025,semi_quadratic,equity,moirai,9,6,4
pinball_0p025,semi_quadratic,equity,naive,9,0,0
pinball_0p025,semi_quadratic,equity,patchtst,9,0,0
pinball_0p025,semi_quadratic,equity,timesfm,9,5,1
pinball_0p025,range,crypto,autoarima,2,0,0
pinball_0p025,range,crypto,autoets,2,0,0
pinball_0p025,range,crypto,chronos,2,2,0
pinball_0p025,range,crypto,ewma,2,0,0
pinball_0p025,range,crypto,garch11,2,0,0
pinball_0p025,range,crypto,garch11_t,2,0,0
pinball_0p025,range,crypto,gjr,2,1,0
pinball_0p025,range,crypto,har,2,0,0
pinball_0p025,range,crypto,lgbm,2,0,0
pinball_0p025,range,crypto,moirai,2,2,2
pinball_0p025,range,crypto,naive,2,0,0
pinball_0p025,range,crypto,patchtst,2,0,0
pinball_0p025,range,crypto,timesfm,2,2,0
pinball_0p025,semi_quadratic,crypto,autoarima,2,0,0
pinball_0p025,semi_quadratic,crypto,autoets,2,0,0
pinball_0p025,semi_quadratic,crypto,chronos,2,2,0
pinball_0p025,semi_quadratic,crypto,ewma,2,0,0
pinball_0p025,semi_quadratic,crypto,garch11,2,0,0
pinball_0p025,semi_quadratic,crypto,garch11_t,2,0,0
pinball_0p025,semi_quadratic,crypto,gjr,2,0,0
pinball_0p025,semi_quadratic,crypto,har,2,0,0
pinball_0p025,semi_quadratic,crypto,lgbm,2,0,0
pinball_0p025,semi_quadratic,crypto,moirai,2,2,2
pinball_0p025,semi_quadratic,crypto,naive,2,0,0
pinball_0p025,semi_quadratic,crypto,patchtst,2,0,0
pinball_0p025,semi_quadratic,crypto,timesfm,2,2,0
pinball_0p05,range,all,autoarima,11,9,6
pinball_0p05,range,all,autoets,11,9,7
pinball_0p05,range,all,chronos,11,11,3
pinball_0p05,range,all,ewma,11,5,2
pinball_0p05,range,all,garch11,11,4,0
pinball_0p05,range,all,garch11_t,11,4,0
pinball_0p05,range,all,gjr,11,9,8
pinball_0p05,range,all,har,11,9,6
pinball_0p05,range,all,lgbm,11,3,0
pinball_0p05,range,all,moirai,11,11,8
pinball_0p05,range,all,naive,11,0,0
pinball_0p05,range,all,patchtst,11,0,0
pinball_0p05,range,all,timesfm,11,11,2
pinball_0p05,semi_quadratic,all,autoarima,11,7,5
pinball_0p05,semi_quadratic,all,autoets,11,7,7
pinball_0p05,semi_quadratic,all,chronos,11,6,2
pinball_0p05,semi_quadratic,all,ewma,11,3,2
pinball_0p05,semi_quadratic,all,garch11,11,2,1
pinball_0p05,semi_quadratic,all,garch11_t,11,3,1
pinball_0p05,semi_quadratic,all,gjr,11,9,8
pinball_0p05,semi_quadratic,all,har,11,7,6
pinball_0p05,semi_quadratic,all,lgbm,11,0,0
pinball_0p05,semi_quadratic,all,moirai,11,9,7
pinball_0p05,semi_quadratic,all,naive,11,0,0
pinball_0p05,semi_quadratic,all,patchtst,11,0,0
pinball_0p05,semi_quadratic,all,timesfm,11,6,2
pinball_0p05,range,equity,autoarima,9,9,6
pinball_0p05,range,equity,autoets,9,9,7
pinball_0p05,range,equity,chronos,9,9,2
pinball_0p05,range,equity,ewma,9,5,2
pinball_0p05,range,equity,garch11,9,4,0
pinball_0p05,range,equity,garch11_t,9,4,0
pinball_0p05,range,equity,gjr,9,9,8
pinball_0p05,range,equity,har,9,9,6
pinball_0p05,range,equity,lgbm,9,3,0
pinball_0p05,range,equity,moirai,9,9,6
pinball_0p05,range,equity,naive,9,0,0
pinball_0p05,range,equity,patchtst,9,0,0
pinball_0p05,range,equity,timesfm,9,9,2
pinball_0p05,semi_quadratic,equity,autoarima,9,7,5
pinball_0p05,semi_quadratic,equity,autoets,9,7,7
pinball_0p05,semi_quadratic,equity,chronos,9,4,1
pinball_0p05,semi_quadratic,equity,ewma,9,3,2
pinball_0p05,semi_quadratic,equity,garch11,9,2,1
pinball_0p05,semi_quadratic,equity,garch11_t,9,3,1
pinball_0p05,semi_quadratic,equity,gjr,9,9,8
pinball_0p05,semi_quadratic,equity,har,9,7,6
pinball_0p05,semi_quadratic,equity,lgbm,9,0,0
pinball_0p05,semi_quadratic,equity,moirai,9,7,5
pinball_0p05,semi_quadratic,equity,naive,9,0,0
pinball_0p05,semi_quadratic,equity,patchtst,9,0,0
pinball_0p05,semi_quadratic,equity,timesfm,9,4,1
pinball_0p05,range,crypto,autoarima,2,0,0
pinball_0p05,range,crypto,autoets,2,0,0
pinball_0p05,range,crypto,chronos,2,2,1
pinball_0p05,range,crypto,ewma,2,0,0
pinball_0p05,range,crypto,garch11,2,0,0
pinball_0p05,range,crypto,garch11_t,2,0,0
pinball_0p05,range,crypto,gjr,2,0,0
pinball_0p05,range,crypto,har,2,0,0
pinball_0p05,range,crypto,lgbm,2,0,0
pinball_0p05,range,crypto,moirai,2,2,2
pinball_0p05,range,crypto,naive,2,0,0
pinball_0p05,range,crypto,patchtst,2,0,0
pinball_0p05,range,crypto,timesfm,2,2,0
pinball_0p05,semi_quadratic,crypto,autoarima,2,0,0
pinball_0p05,semi_quadratic,crypto,autoets,2,0,0
pinball_0p05,semi_quadratic,crypto,chronos,2,2,1
pinball_0p05,semi_quadratic,crypto,ewma,2,0,0
pinball_0p05,semi_quadratic,crypto,garch11,2,0,0
pinball_0p05,semi_quadratic,crypto,garch11_t,2,0,0
pinball_0p05,semi_quadratic,crypto,gjr,2,0,0
pinball_0p05,semi_quadratic,crypto,har,2,0,0
pinball_0p05,semi_quadratic,crypto,lgbm,2,0,0
pinball_0p05,semi_quadratic,crypto,moirai,2,2,2
pinball_0p05,semi_quadratic,crypto,naive,2,0,0
pinball_0p05,semi_quadratic,crypto,patchtst,2,0,0
pinball_0p05,semi_quadratic,crypto,timesfm,2,2,1
pinball_avg,range,all,autoarima,11,8,5
pinball_avg,range,all,autoets,11,8,6
pinball_avg,range,all,chronos,11,10,4
pinball_avg,range,all,ewma,11,6,2
pinball_avg,range,all,garch11,11,3,1
pinball_avg,range,all,garch11_t,11,6,4
pinball_avg,range,all,gjr,11,9,8
pinball_avg,range,all,har,11,8,5
pinball_avg,range,all,lgbm,11,5,1
pinball_avg,range,all,moirai,11,10,7
pinball_avg,range,all,naive,11,1,0
pinball_avg,range,all,patchtst,11,0,0
pinball_avg,range,all,timesfm,11,10,3
pinball_avg,semi_quadratic,all,autoarima,11,6,5
pinball_avg,semi_quadratic,all,autoets,11,7,6
pinball_avg,semi_quadratic,all,chronos,11,6,3
pinball_avg,semi_quadratic,all,ewma,11,2,2
pinball_avg,semi_quadratic,all,garch11,11,3,1
pinball_avg,semi_quadratic,all,garch11_t,11,5,2
pinball_avg,semi_quadratic,all,gjr,11,9,8
pinball_avg,semi_quadratic,all,har,11,7,5
pinball_avg,semi_quadratic,all,lgbm,11,1,0
pinball_avg,semi_quadratic,all,moirai,11,8,5
pinball_avg,semi_quadratic,all,naive,11,0,0
pinball_avg,semi_quadratic,all,patchtst,11,0,0
pinball_avg,semi_quadratic,all,timesfm,11,7,2
pinball_avg,range,equity,autoarima,9,8,5
pinball_avg,range,equity,autoets,9,8,6
pinball_avg,range,equity,chronos,9,8,3
pinball_avg,range,equity,ewma,9,6,2
pinball_avg,range,equity,garch11,9,3,1
pinball_avg,range,equity,garch11_t,9,6,4
pinball_avg,range,equity,gjr,9,9,8
pinball_avg,range,equity,har,9,8,5
pinball_avg,range,equity,lgbm,9,5,1
pinball_avg,range,equity,moirai,9,8,5
pinball_avg,range,equity,naive,9,1,0
pinball_avg,range,equity,patchtst,9,0,0
pinball_avg,range,equity,timesfm,9,8,3
pinball_avg,semi_quadratic,equity,autoarima,9,6,5
pinball_avg,semi_quadratic,equity,autoets,9,7,6
pinball_avg,semi_quadratic,equity,chronos,9,4,2
pinball_avg,semi_quadratic,equity,ewma,9,2,2
pinball_avg,semi_quadratic,equity,garch11,9,3,1
pinball_avg,semi_quadratic,equity,garch11_t,9,5,2
pinball_avg,semi_quadratic,equity,gjr,9,9,8
pinball_avg,semi_quadratic,equity,har,9,7,5
pinball_avg,semi_quadratic,equity,lgbm,9,1,0
pinball_avg,semi_quadratic,equity,moirai,9,6,3
pinball_avg,semi_quadratic,equity,naive,9,0,0
pinball_avg,semi_quadratic,equity,patchtst,9,0,0
pinball_avg,semi_quadratic,equity,timesfm,9,5,1
pinball_avg,range,crypto,autoarima,2,0,0
pinball_avg,range,crypto,autoets,2,0,0
pinball_avg,range,crypto,chronos,2,2,1
pinball_avg,range,crypto,ewma,2,0,0
pinball_avg,range,crypto,garch11,2,0,0
pinball_avg,range,crypto,garch11_t,2,0,0
pinball_avg,range,crypto,gjr,2,0,0
pinball_avg,range,crypto,har,2,0,0
pinball_avg,range,crypto,lgbm,2,0,0
pinball_avg,range,crypto,moirai,2,2,2
pinball_avg,range,crypto,naive,2,0,0
pinball_avg,range,crypto,patchtst,2,0,0
pinball_avg,range,crypto,timesfm,2,2,0
pinball_avg,semi_quadratic,crypto,autoarima,2,0,0
pinball_avg,semi_quadratic,crypto,autoets,2,0,0
pinball_avg,semi_quadratic,crypto,chronos,2,2,1
pinball_avg,semi_quadratic,crypto,ewma,2,0,0
pinball_avg,semi_quadratic,crypto,garch11,2,0,0
pinball_avg,semi_quadratic,crypto,garch11_t,2,0,0
pinball_avg,semi_quadratic,crypto,gjr,2,0,0
pinball_avg,semi_quadratic,crypto,har,2,0,0
pinball_avg,semi_quadratic,crypto,lgbm,2,0,0
pinball_avg,semi_quadratic,crypto,moirai,2,2,2
pinball_avg,semi_quadratic,crypto,naive,2,0,0
pinball_avg,semi_quadratic,crypto,patchtst,2,0,0
pinball_avg,semi_quadratic,crypto,timesfm,2,2,1
qlike,range,all,autoarima,11,7,4
qlike,range,all,autoets,11,7,6
qlike,range,all,chronos,11,3,1
qlike,range,all,ewma,11,2,1
qlike,range,all,garch11,11,1,1
qlike,range,all,garch11_t,11,1,1
qlike,range,all,gjr,11,8,7
qlike,range,all,har,11,9,6
qlike,range,all,lgbm,11,0,0
qlike,range,all,moirai,11,11,10
qlike,range,all,naive,11,0,0
qlike,range,all,patchtst,11,0,0
qlike,range,all,timesfm,11,4,1
qlike,semi_quadratic,all,autoarima,11,6,4
qlike,semi_quadratic,all,autoets,11,7,5
qlike,semi_quadratic,all,chronos,11,3,2
qlike,semi_quadratic,all,ewma,11,2,1
qlike,semi_quadratic,all,garch11,11,1,1
qlike,semi_quadratic,all,garch11_t,11,1,1
qlike,semi_quadratic,all,gjr,11,7,7
qlike,semi_quadratic,all,har,11,9,5
qlike,semi_quadratic,all,lgbm,11,0,0
qlike,semi_quadratic,all,moirai,11,11,8
qlike,semi_quadratic,all,naive,11,0,0
qlike,semi_quadratic,all,patchtst,11,0,0
qlike,semi_quadratic,all,timesfm,11,3,1
qlike,range,equity,autoarima,9,7,4
qlike,range,equity,autoets,9,7,6
qlike,range,equity,chronos,9,3,1
qlike,range,equity,ewma,9,2,1
qlike,range,equity,garch11,9,1,1
qlike,range,equity,garch11_t,9,1,1
qlike,range,equity,gjr,9,8,7
qlike,range,equity,har,9,9,6
qlike,range,equity,lgbm,9,0,0
qlike,range,equity,moirai,9,9,8
qlike,range,equity,naive,9,0,0
qlike,range,equity,patchtst,9,0,0
qlike,range,equity,timesfm,9,2,0
qlike,semi_quadratic,equity,autoarima,9,6,4
qlike,semi_quadratic,equity,autoets,9,7,5
qlike,semi_quadratic,equity,chronos,9,3,2
qlike,semi_quadratic,equity,ewma,9,2,1
qlike,semi_quadratic,equity,garch11,9,1,1
qlike,semi_quadratic,equity,garch11_t,9,1,1
qlike,semi_quadratic,equity,gjr,9,7,7
qlike,semi_quadratic,equity,har,9,9,5
qlike,semi_quadratic,equity,lgbm,9,0,0
qlike,semi_quadratic,equity,moirai,9,9,6
qlike,semi_quadratic,equity,naive,9,0,0
qlike,semi_quadratic,equity,patchtst,9,0,0
qlike,semi_quadratic,equity,timesfm,9,1,0
qlike,range,crypto,autoarima,2,0,0
qlike,range,crypto,autoets,2,0,0
qlike,range,crypto,chronos,2,0,0
qlike,range,crypto,ewma,2,0,0
qlike,range,crypto,garch11,2,0,0
qlike,range,crypto,garch11_t,2,0,0
qlike,range,crypto,gjr,2,0,0
qlike,range,crypto,har,2,0,0
qlike,range,crypto,lgbm,2,0,0
qlike,range,crypto,moirai,2,2,2
qlike,range,crypto,naive,2,0,0
qlike,range,crypto,patchtst,2,0,0
qlike,range,crypto,timesfm,2,2,1
qlike,semi_quadratic,crypto,autoarima,2,0,0
qlike,semi_quadratic,crypto,autoets,2,0,0
qlike,semi_quadratic,crypto,chronos,2,0,0
qlike,semi_quadratic,crypto,ewma,2,0,0
qlike,semi_quadratic,crypto,garch11,2,0,0
qlike,semi_quadratic,crypto,garch11_t,2,0,0
qlike,semi_quadratic,crypto,gjr,2,0,0
qlike,semi_quadratic,crypto,har,2,0,0
qlike,semi_quadratic,crypto,lgbm,2,0,0
qlike,semi_quadratic,crypto,moirai,2,2,2
qlike,semi_quadratic,crypto,naive,2,0,0
qlike,semi_quadratic,crypto,patchtst,2,0,0
qlike,semi_quadratic,crypto,timesfm,2,2,1
fz0_0p01,range,all,autoarima,11,8,6
fz0_0p01,range,all,autoets,11,8,7
fz0_0p01,range,all,chronos,11,6,4
fz0_0p01,range,all,ewma,11,3,2
fz0_0p01,range,all,garch11,11,2,2
fz0_0p01,range,all,garch11_t,11,11,11
fz0_0p01,range,all,gjr,11,10,6
fz0_0p01,range,all,har,11,8,6
fz0_0p01,range,all,lgbm,11,6,3
fz0_0p01,range,all,moirai,11,6,3
fz0_0p01,range,all,naive,11,3,2
fz0_0p01,range,all,patchtst,11,0,0
fz0_0p01,range,all,timesfm,11,7,5
fz0_0p01,semi_quadratic,all,autoarima,11,7,7
fz0_0p01,semi_quadratic,all,autoets,11,8,7
fz0_0p01,semi_quadratic,all,chronos,11,7,4
fz0_0p01,semi_quadratic,all,ewma,11,3,2
fz0_0p01,semi_quadratic,all,garch11,11,3,3
fz0_0p01,semi_quadratic,all,garch11_t,11,11,11
fz0_0p01,semi_quadratic,all,gjr,11,10,6
fz0_0p01,semi_quadratic,all,har,11,7,6
fz0_0p01,semi_quadratic,all,lgbm,11,3,3
fz0_0p01,semi_quadratic,all,moirai,11,6,3
fz0_0p01,semi_quadratic,all,naive,11,2,2
fz0_0p01,semi_quadratic,all,patchtst,11,0,0
fz0_0p01,semi_quadratic,all,timesfm,11,7,4
fz0_0p01,range,equity,autoarima,9,6,4
fz0_0p01,range,equity,autoets,9,6,5
